Month,Zipcode,Crime rate per 1000
10/2018,85927,N/A
10/2018,85930,N/A
10/2018,85932,N/A
10/2018,85936,N/A
10/2018,85938,N/A
10/2018,85940,N/A
10/2018,86028,N/A
10/2018,86502,N/A
10/2018,86503,N/A
10/2018,86504,N/A
10/2018,86505,N/A
10/2018,86506,N/A
10/2018,86507,N/A
10/2018,86508,N/A
10/2018,86511,N/A
10/2018,86512,N/A
10/2018,86514,N/A
10/2018,86515,N/A
10/2018,86535,N/A
10/2018,86538,N/A
10/2018,86540,N/A
10/2018,86544,N/A
10/2018,86545,N/A
10/2018,86547,N/A
10/2018,86556,N/A
11/2018,04001,0.06
11/2018,85920,0.06
11/2018,85924,0.06
11/2018,85925,0.06
11/2018,85927,0.06
11/2018,85930,0.06
11/2018,85932,0.06
11/2018,85936,0.06
11/2018,85938,0.06
11/2018,85940,0.06
11/2018,86028,0.06
11/2018,86502,0.06
11/2018,86503,0.06
11/2018,86504,0.06
11/2018,86505,0.06
11/2018,86506,0.06
11/2018,86507,0.06
11/2018,86508,0.06
11/2018,86511,0.06
11/2018,86512,0.06
11/2018,86514,0.06
11/2018,86515,0.06
11/2018,86535,0.06
11/2018,86538,0.06
11/2018,86540,0.06
11/2018,86544,0.06
11/2018,86545,0.06
11/2018,86547,0.06
11/2018,86556,0.06
12/2018,04001,0.18
12/2018,85920,0.18
12/2018,85924,0.18
12/2018,85925,0.18
12/2018,85927,0.18
12/2018,85930,0.18
12/2018,85932,0.18
12/2018,85936,0.18
12/2018,85938,0.18
12/2018,85940,0.18
12/2018,86028,0.18
12/2018,86502,0.18
12/2018,86503,0.18
12/2018,86504,0.18
12/2018,86505,0.18
12/2018,86506,0.18
12/2018,86507,0.18
12/2018,86508,0.18
12/2018,86511,0.18
12/2018,86512,0.18
12/2018,86514,0.18
12/2018,86515,0.18
12/2018,86535,0.18
12/2018,86538,0.18
12/2018,86540,0.18
12/2018,86544,0.18
12/2018,86545,0.18
12/2018,86547,0.18
12/2018,86556,0.18
01/2019,04001,0.28
01/2019,85920,0.28
01/2019,85924,0.28
01/2019,85925,0.28
01/2019,85927,0.28
01/2019,85930,0.28
01/2019,85932,0.28
01/2019,85936,0.28
01/2019,85938,0.28
01/2019,85940,0.28
01/2019,86028,0.28
01/2019,86502,0.28
01/2019,86503,0.28
01/2019,86504,0.28
01/2019,86505,0.28
01/2019,86506,0.28
01/2019,86507,0.28
01/2019,86508,0.28
01/2019,86511,0.28
01/2019,86512,0.28
01/2019,86514,0.28
01/2019,86515,0.28
01/2019,86535,0.28
01/2019,86538,0.28
01/2019,86540,0.28
01/2019,86544,0.28
01/2019,86545,0.28
01/2019,86547,0.28
01/2019,86556,0.28
02/2019,04001,0.25
02/2019,85920,0.25
02/2019,85924,0.25
02/2019,85925,0.25
02/2019,85927,0.25
02/2019,85930,0.25
02/2019,85932,0.25
02/2019,85936,0.25
02/2019,85938,0.25
02/2019,85940,0.25
02/2019,86028,0.25
02/2019,86502,0.25
02/2019,86503,0.25
02/2019,86504,0.25
02/2019,86505,0.25
02/2019,86506,0.25
02/2019,86507,0.25
02/2019,86508,0.25
02/2019,86511,0.25
02/2019,86512,0.25
02/2019,86514,0.25
02/2019,86515,0.25
02/2019,86535,0.25
02/2019,86538,0.25
02/2019,86540,0.25
02/2019,86544,0.25
02/2019,86545,0.25
02/2019,86547,0.25
02/2019,86556,0.25
03/2019,04001,0.21
03/2019,85920,0.21
03/2019,85924,0.21
03/2019,85925,0.21
03/2019,85927,0.21
03/2019,85930,0.21
03/2019,85932,0.21
03/2019,85936,0.21
03/2019,85938,0.21
03/2019,85940,0.21
03/2019,86028,0.21
03/2019,86502,0.21
03/2019,86503,0.21
03/2019,86504,0.21
03/2019,86505,0.21
03/2019,86506,0.21
03/2019,86507,0.21
03/2019,86508,0.21
03/2019,86511,0.21
03/2019,86512,0.21
03/2019,86514,0.21
03/2019,86515,0.21
03/2019,86535,0.21
03/2019,86538,0.21
03/2019,86540,0.21
03/2019,86544,0.21
03/2019,86545,0.21
03/2019,86547,0.21
03/2019,86556,0.21
