Month,Zipcode,Crime rate per 1000
06/2022,85117,3.24
06/2022,85118,3.24
06/2022,85119,3.24
06/2022,85120,3.24
06/2022,85178,3.24
07/2022,85117,3.17
07/2022,85118,3.17
07/2022,85119,3.17
07/2022,85120,3.17
07/2022,85178,3.17
08/2022,85117,3.45
08/2022,85118,3.45
08/2022,85119,3.45
08/2022,85120,3.45
08/2022,85178,3.45
09/2022,85117,2.7
09/2022,85118,2.7
09/2022,85119,2.7
09/2022,85120,2.7
09/2022,85178,2.7
10/2022,85117,2.32
10/2022,85118,2.32
10/2022,85119,2.32
10/2022,85120,2.32
10/2022,85178,2.32
11/2022,85117,3.01
11/2022,85118,3.01
11/2022,85119,3.01
11/2022,85120,3.01
11/2022,85178,3.01
12/2022,85117,3.45
12/2022,85118,3.45
12/2022,85119,3.45
12/2022,85120,3.45
12/2022,85178,3.45
01/2023,85117,3.22
01/2023,85118,3.22
01/2023,85119,3.22
01/2023,85120,3.22
01/2023,85178,3.22
02/2023,85117,2.59
02/2023,85118,2.59
02/2023,85119,2.59
02/2023,85120,2.59
02/2023,85178,2.59
03/2023,85117,3.07
03/2023,85118,3.07
03/2023,85119,3.07
03/2023,85120,3.07
03/2023,85178,3.07
04/2023,85117,3.17
04/2023,85118,3.17
04/2023,85119,3.17
04/2023,85120,3.17
04/2023,85178,3.17
05/2023,85117,3.55
05/2023,85118,3.55
05/2023,85119,3.55
05/2023,85120,3.55
05/2023,85178,3.55
06/2023,85117,2.77
06/2023,85118,2.77
06/2023,85119,2.77
06/2023,85120,2.77
06/2023,85178,2.77
07/2023,85117,2.77
07/2023,85118,2.77
07/2023,85119,2.77
07/2023,85120,2.77
07/2023,85178,2.77
08/2023,85117,2.77
08/2023,85118,2.77
08/2023,85119,2.77
08/2023,85120,2.77
08/2023,85178,2.77
09/2023,85117,2.74
09/2023,85118,2.74
09/2023,85119,2.74
09/2023,85120,2.74
09/2023,85178,2.74
10/2023,85117,3.17
10/2023,85118,3.17
10/2023,85119,3.17
10/2023,85120,3.17
10/2023,85178,3.17
11/2023,85117,2.44
11/2023,85118,2.44
11/2023,85119,2.44
11/2023,85120,2.44
11/2023,85178,2.44
12/2023,85117,2.89
12/2023,85118,2.89
12/2023,85119,2.89
12/2023,85120,2.89
12/2023,85178,2.89
01/2018,85323,4.73
01/2018,85392,4.73
02/2018,85323,4.43
02/2018,85392,4.43
03/2018,85323,4.23
03/2018,85392,4.23
04/2018,85323,3.89
04/2018,85392,3.89
05/2018,85323,4.1
05/2018,85392,4.1
06/2018,85323,3.52
06/2018,85392,3.52
07/2018,85323,4.08
07/2018,85392,4.08
08/2018,85323,4.12
08/2018,85392,4.12
09/2018,85323,3.87
09/2018,85392,3.87
10/2018,85323,3.83
10/2018,85392,3.83
11/2018,85323,3.71
11/2018,85392,3.71
12/2018,85323,4.38
12/2018,85392,4.38
01/2019,85323,4.39
01/2019,85392,4.39
02/2019,85323,3.96
02/2019,85392,3.96
03/2019,85323,4.24
03/2019,85392,4.24
04/2019,85323,4.53
04/2019,85392,4.53
05/2019,85323,4.25
05/2019,85392,4.25
06/2019,85323,3.86
06/2019,85392,3.86
07/2019,85323,4.3
07/2019,85392,4.3
08/2019,85323,3.83
08/2019,85392,3.83
09/2019,85323,4.27
09/2019,85392,4.27
10/2019,85323,4.45
10/2019,85392,4.45
11/2019,85323,4.08
11/2019,85392,4.08
12/2019,85323,4.54
12/2019,85392,4.54
01/2020,85323,4.66
01/2020,85392,4.66
02/2020,85323,4.07
02/2020,85392,4.07
03/2020,85323,3.93
03/2020,85392,3.93
04/2020,85323,3.96
04/2020,85392,3.96
05/2020,85323,3.86
05/2020,85392,3.86
06/2020,85323,3.07
06/2020,85392,3.07
07/2020,85323,3.6
07/2020,85392,3.6
08/2020,85323,4.53
08/2020,85392,4.53
09/2020,85323,4.03
09/2020,85392,4.03
10/2020,85323,4.58
10/2020,85392,4.58
11/2020,85323,5.3
11/2020,85392,5.3
12/2020,85323,5.3
12/2020,85392,5.3
01/2021,85323,4.66
01/2021,85392,4.66
02/2021,85323,4.53
02/2021,85392,4.53
03/2021,85323,3.99
03/2021,85392,3.99
04/2021,85323,3.92
04/2021,85392,3.92
