Month,Zipcode,Crime rate per 1000
04/2019,85004,4.64
05/2019,85004,5.01
06/2019,85004,4.82
07/2019,85004,4.8
08/2019,85004,4.9
09/2019,85004,4.7
10/2019,85004,4.87
11/2019,85004,4.6
12/2019,85004,4.94
01/2020,85004,5.02
02/2020,85004,0.19
03/2020,85004,4.89
04/2020,85004,4.78
05/2020,85004,4.89
06/2020,85004,4.18
07/2020,85004,4.15
08/2020,85004,4.58
09/2020,85004,4.39
10/2020,85004,4.89
11/2020,85004,4.8
12/2020,85004,4.95
01/2021,85004,4.83
02/2021,85004,4.73
03/2021,85004,4.83
04/2021,85004,4.32
05/2021,85004,4.67
06/2021,85004,4.54
07/2021,85004,4.77
08/2021,85004,4.93
09/2021,85004,4.96
10/2021,85004,4.91
11/2021,85004,4.72
12/2021,85004,4.65
01/2022,85004,4.84
02/2022,85004,4.32
03/2022,85004,4.86
04/2022,85004,4.72
05/2022,85004,4.85
06/2022,85004,4.47
07/2022,85004,4.37
08/2022,85004,4.42
09/2022,85004,4.33
10/2022,85004,4.38
11/2022,85004,3.92
12/2022,85004,4.16
01/2023,85004,4.21
02/2023,85004,3.72
03/2023,85004,4.08
04/2023,85004,4.02
05/2023,85004,4.24
06/2023,85004,3.95
07/2023,85004,3.98
08/2023,85004,4.1
09/2023,85004,4.12
10/2023,85004,4.09
11/2023,85004,4.02
12/2023,85004,3.89
01/2018,85005,5.17
02/2018,85005,4.55
03/2018,85005,4.63
04/2018,85005,4.92
05/2018,85005,5.01
06/2018,85005,4.61
07/2018,85005,4.84
08/2018,85005,4.83
09/2018,85005,4.78
10/2018,85005,4.97
11/2018,85005,4.63
12/2018,85005,4.73
01/2019,85005,4.74
02/2019,85005,4.16
03/2019,85005,4.58
04/2019,85005,4.64
05/2019,85005,5.01
06/2019,85005,4.82
07/2019,85005,4.8
08/2019,85005,4.9
09/2019,85005,4.7
10/2019,85005,4.87
11/2019,85005,4.6
12/2019,85005,4.94
01/2020,85005,5.02
02/2020,85005,0.19
03/2020,85005,4.89
04/2020,85005,4.78
05/2020,85005,4.89
06/2020,85005,4.18
07/2020,85005,4.15
08/2020,85005,4.58
09/2020,85005,4.39
10/2020,85005,4.89
11/2020,85005,4.8
12/2020,85005,4.95
01/2021,85005,4.83
02/2021,85005,4.73
03/2021,85005,4.83
04/2021,85005,4.32
05/2021,85005,4.67
06/2021,85005,4.54
07/2021,85005,4.77
08/2021,85005,4.93
09/2021,85005,4.96
10/2021,85005,4.91
11/2021,85005,4.72
12/2021,85005,4.65
01/2022,85005,4.84
02/2022,85005,4.32
03/2022,85005,4.86
04/2022,85005,4.72
05/2022,85005,4.85
06/2022,85005,4.47
07/2022,85005,4.37
08/2022,85005,4.42
09/2022,85005,4.33
10/2022,85005,4.38
11/2022,85005,3.92
12/2022,85005,4.16
01/2023,85005,4.21
02/2023,85005,3.72
03/2023,85005,4.08
04/2023,85005,4.02
05/2023,85005,4.24
06/2023,85005,3.95
07/2023,85005,3.98
08/2023,85005,4.1
09/2023,85005,4.12
10/2023,85005,4.09
11/2023,85005,4.02
12/2023,85005,3.89
01/2018,85006,5.17
02/2018,85006,4.55
03/2018,85006,4.63
04/2018,85006,4.92
05/2018,85006,5.01
06/2018,85006,4.61
07/2018,85006,4.84
08/2018,85006,4.83
09/2018,85006,4.78
10/2018,85006,4.97
11/2018,85006,4.63
12/2018,85006,4.73
01/2019,85006,4.74
02/2019,85006,4.16
03/2019,85006,4.58
04/2019,85006,4.64
05/2019,85006,5.01
06/2019,85006,4.82
07/2019,85006,4.8
08/2019,85006,4.9
09/2019,85006,4.7
10/2019,85006,4.87
11/2019,85006,4.6
12/2019,85006,4.94
01/2020,85006,5.02
02/2020,85006,0.19
03/2020,85006,4.89
04/2020,85006,4.78
05/2020,85006,4.89
06/2020,85006,4.18
07/2020,85006,4.15
08/2020,85006,4.58
09/2020,85006,4.39
10/2020,85006,4.89
11/2020,85006,4.8
12/2020,85006,4.95
01/2021,85006,4.83
02/2021,85006,4.73
03/2021,85006,4.83
04/2021,85006,4.32
05/2021,85006,4.67
06/2021,85006,4.54
07/2021,85006,4.77
08/2021,85006,4.93
09/2021,85006,4.96
10/2021,85006,4.91
11/2021,85006,4.72
12/2021,85006,4.65
01/2022,85006,4.84
02/2022,85006,4.32
03/2022,85006,4.86
04/2022,85006,4.72
05/2022,85006,4.85
06/2022,85006,4.47
07/2022,85006,4.37
08/2022,85006,4.42
09/2022,85006,4.33
10/2022,85006,4.38
11/2022,85006,3.92
12/2022,85006,4.16
01/2023,85006,4.21
02/2023,85006,3.72
03/2023,85006,4.08
04/2023,85006,4.02
05/2023,85006,4.24
06/2023,85006,3.95
07/2023,85006,3.98
08/2023,85006,4.1
09/2023,85006,4.12
10/2023,85006,4.09
11/2023,85006,4.02
12/2023,85006,3.89
01/2018,85007,5.17
02/2018,85007,4.55
03/2018,85007,4.63
04/2018,85007,4.92
05/2018,85007,5.01
06/2018,85007,4.61
07/2018,85007,4.84
08/2018,85007,4.83
09/2018,85007,4.78
10/2018,85007,4.97
11/2018,85007,4.63
12/2018,85007,4.73
01/2019,85007,4.74
02/2019,85007,4.16
03/2019,85007,4.58
04/2019,85007,4.64
05/2019,85007,5.01
06/2019,85007,4.82
07/2019,85007,4.8
08/2019,85007,4.9
09/2019,85007,4.7
10/2019,85007,4.87
11/2019,85007,4.6
12/2019,85007,4.94
01/2020,85007,5.02
02/2020,85007,0.19
03/2020,85007,4.89
04/2020,85007,4.78
05/2020,85007,4.89
06/2020,85007,4.18
07/2020,85007,4.15
08/2020,85007,4.58
09/2020,85007,4.39
10/2020,85007,4.89
11/2020,85007,4.8
12/2020,85007,4.95
01/2021,85007,4.83
02/2021,85007,4.73
03/2021,85007,4.83
04/2021,85007,4.32
05/2021,85007,4.67
06/2021,85007,4.54
07/2021,85007,4.77
08/2021,85007,4.93
09/2021,85007,4.96
10/2021,85007,4.91
11/2021,85007,4.72
12/2021,85007,4.65
01/2022,85007,4.84
02/2022,85007,4.32
03/2022,85007,4.86
04/2022,85007,4.72
05/2022,85007,4.85
06/2022,85007,4.47
07/2022,85007,4.37
08/2022,85007,4.42
09/2022,85007,4.33
10/2022,85007,4.38
11/2022,85007,3.92
12/2022,85007,4.16
01/2023,85007,4.21
02/2023,85007,3.72
03/2023,85007,4.08
04/2023,85007,4.02
05/2023,85007,4.24
06/2023,85007,3.95
07/2023,85007,3.98
08/2023,85007,4.1
09/2023,85007,4.12
10/2023,85007,4.09
11/2023,85007,4.02
12/2023,85007,3.89
01/2018,85008,5.17
02/2018,85008,4.55
03/2018,85008,4.63
04/2018,85008,4.92
05/2018,85008,5.01
06/2018,85008,4.61
07/2018,85008,4.84
08/2018,85008,4.83
09/2018,85008,4.78
10/2018,85008,4.97
11/2018,85008,4.63
12/2018,85008,4.73
01/2019,85008,4.74
02/2019,85008,4.16
03/2019,85008,4.58
04/2019,85008,4.64
05/2019,85008,5.01
06/2019,85008,4.82
07/2019,85008,4.8
08/2019,85008,4.9
09/2019,85008,4.7
10/2019,85008,4.87
11/2019,85008,4.6
12/2019,85008,4.94
01/2020,85008,5.02
02/2020,85008,0.19
03/2020,85008,4.89
04/2020,85008,4.78
05/2020,85008,4.89
06/2020,85008,4.18
07/2020,85008,4.15
08/2020,85008,4.58
09/2020,85008,4.39
10/2020,85008,4.89
11/2020,85008,4.8
12/2020,85008,4.95
01/2021,85008,4.83
02/2021,85008,4.73
03/2021,85008,4.83
04/2021,85008,4.32
05/2021,85008,4.67
06/2021,85008,4.54
07/2021,85008,4.77
08/2021,85008,4.93
09/2021,85008,4.96
10/2021,85008,4.91
11/2021,85008,4.72
12/2021,85008,4.65
01/2022,85008,4.84
02/2022,85008,4.32
03/2022,85008,4.86
04/2022,85008,4.72
05/2022,85008,4.85
06/2022,85008,4.47
07/2022,85008,4.37
08/2022,85008,4.42
09/2022,85008,4.33
10/2022,85008,4.38
11/2022,85008,3.92
12/2022,85008,4.16
01/2023,85008,4.21
02/2023,85008,3.72
03/2023,85008,4.08
04/2023,85008,4.02
05/2023,85008,4.24
06/2023,85008,3.95
07/2023,85008,3.98
08/2023,85008,4.1
09/2023,85008,4.12
10/2023,85008,4.09
11/2023,85008,4.02
12/2023,85008,3.89
01/2018,85009,5.17
02/2018,85009,4.55
03/2018,85009,4.63
04/2018,85009,4.92
05/2018,85009,5.01
06/2018,85009,4.61
07/2018,85009,4.84
08/2018,85009,4.83
09/2018,85009,4.78
10/2018,85009,4.97
11/2018,85009,4.63
12/2018,85009,4.73
01/2019,85009,4.74
02/2019,85009,4.16
03/2019,85009,4.58
04/2019,85009,4.64
05/2019,85009,5.01
06/2019,85009,4.82
07/2019,85009,4.8
08/2019,85009,4.9
09/2019,85009,4.7
10/2019,85009,4.87
11/2019,85009,4.6
12/2019,85009,4.94
01/2020,85009,5.02
02/2020,85009,0.19
03/2020,85009,4.89
04/2020,85009,4.78
05/2020,85009,4.89
06/2020,85009,4.18
07/2020,85009,4.15
08/2020,85009,4.58
09/2020,85009,4.39
10/2020,85009,4.89
11/2020,85009,4.8
12/2020,85009,4.95
01/2021,85009,4.83
02/2021,85009,4.73
03/2021,85009,4.83
04/2021,85009,4.32
05/2021,85009,4.67
06/2021,85009,4.54
07/2021,85009,4.77
08/2021,85009,4.93
09/2021,85009,4.96
10/2021,85009,4.91
11/2021,85009,4.72
12/2021,85009,4.65
01/2022,85009,4.84
02/2022,85009,4.32
03/2022,85009,4.86
04/2022,85009,4.72
05/2022,85009,4.85
06/2022,85009,4.47
07/2022,85009,4.37
08/2022,85009,4.42
09/2022,85009,4.33
10/2022,85009,4.38
11/2022,85009,3.92
12/2022,85009,4.16
01/2023,85009,4.21
02/2023,85009,3.72
03/2023,85009,4.08
04/2023,85009,4.02
05/2023,85009,4.24
06/2023,85009,3.95
07/2023,85009,3.98
08/2023,85009,4.1
09/2023,85009,4.12
10/2023,85009,4.09
11/2023,85009,4.02
12/2023,85009,3.89
01/2018,85010,5.17
02/2018,85010,4.55
03/2018,85010,4.63
04/2018,85010,4.92
05/2018,85010,5.01
06/2018,85010,4.61
07/2018,85010,4.84
08/2018,85010,4.83
09/2018,85010,4.78
10/2018,85010,4.97
11/2018,85010,4.63
12/2018,85010,4.73
01/2019,85010,4.74
02/2019,85010,4.16
03/2019,85010,4.58
04/2019,85010,4.64
05/2019,85010,5.01
06/2019,85010,4.82
07/2019,85010,4.8
08/2019,85010,4.9
09/2019,85010,4.7
10/2019,85010,4.87
11/2019,85010,4.6
12/2019,85010,4.94
01/2020,85010,5.02
02/2020,85010,0.19
03/2020,85010,4.89
04/2020,85010,4.78
05/2020,85010,4.89
06/2020,85010,4.18
07/2020,85010,4.15
08/2020,85010,4.58
09/2020,85010,4.39
10/2020,85010,4.89
11/2020,85010,4.8
12/2020,85010,4.95
01/2021,85010,4.83
02/2021,85010,4.73
03/2021,85010,4.83
04/2021,85010,4.32
05/2021,85010,4.67
06/2021,85010,4.54
07/2021,85010,4.77
08/2021,85010,4.93
09/2021,85010,4.96
10/2021,85010,4.91
11/2021,85010,4.72
12/2021,85010,4.65
01/2022,85010,4.84
02/2022,85010,4.32
03/2022,85010,4.86
04/2022,85010,4.72
05/2022,85010,4.85
06/2022,85010,4.47
07/2022,85010,4.37
08/2022,85010,4.42
09/2022,85010,4.33
10/2022,85010,4.38
11/2022,85010,3.92
12/2022,85010,4.16
01/2023,85010,4.21
02/2023,85010,3.72
03/2023,85010,4.08
04/2023,85010,4.02
05/2023,85010,4.24
06/2023,85010,3.95
07/2023,85010,3.98
08/2023,85010,4.1
09/2023,85010,4.12
10/2023,85010,4.09
11/2023,85010,4.02
12/2023,85010,3.89
01/2018,85011,5.17
02/2018,85011,4.55
03/2018,85011,4.63
04/2018,85011,4.92
05/2018,85011,5.01
06/2018,85011,4.61
07/2018,85011,4.84
08/2018,85011,4.83
09/2018,85011,4.78
10/2018,85011,4.97
11/2018,85011,4.63
12/2018,85011,4.73
01/2019,85011,4.74
02/2019,85011,4.16
03/2019,85011,4.58
04/2019,85011,4.64
05/2019,85011,5.01
06/2019,85011,4.82
07/2019,85011,4.8
08/2019,85011,4.9
09/2019,85011,4.7
10/2019,85011,4.87
11/2019,85011,4.6
12/2019,85011,4.94
01/2020,85011,5.02
02/2020,85011,0.19
03/2020,85011,4.89
04/2020,85011,4.78
05/2020,85011,4.89
06/2020,85011,4.18
07/2020,85011,4.15
08/2020,85011,4.58
09/2020,85011,4.39
10/2020,85011,4.89
11/2020,85011,4.8
12/2020,85011,4.95
01/2021,85011,4.83
02/2021,85011,4.73
03/2021,85011,4.83
04/2021,85011,4.32
05/2021,85011,4.67
06/2021,85011,4.54
07/2021,85011,4.77
08/2021,85011,4.93
09/2021,85011,4.96
10/2021,85011,4.91
11/2021,85011,4.72
12/2021,85011,4.65
01/2022,85011,4.84
02/2022,85011,4.32
03/2022,85011,4.86
04/2022,85011,4.72
05/2022,85011,4.85
06/2022,85011,4.47
07/2022,85011,4.37
08/2022,85011,4.42
09/2022,85011,4.33
10/2022,85011,4.38
11/2022,85011,3.92
12/2022,85011,4.16
01/2023,85011,4.21
02/2023,85011,3.72
03/2023,85011,4.08
04/2023,85011,4.02
05/2023,85011,4.24
06/2023,85011,3.95
07/2023,85011,3.98
08/2023,85011,4.1
09/2023,85011,4.12
10/2023,85011,4.09
11/2023,85011,4.02
12/2023,85011,3.89
01/2018,85012,5.17
02/2018,85012,4.55
03/2018,85012,4.63
04/2018,85012,4.92
05/2018,85012,5.01
06/2018,85012,4.61
07/2018,85012,4.84
08/2018,85012,4.83
09/2018,85012,4.78
10/2018,85012,4.97
11/2018,85012,4.63
12/2018,85012,4.73
01/2019,85012,4.74
02/2019,85012,4.16
03/2019,85012,4.58
04/2019,85012,4.64
05/2019,85012,5.01
06/2019,85012,4.82
07/2019,85012,4.8
08/2019,85012,4.9
09/2019,85012,4.7
10/2019,85012,4.87
11/2019,85012,4.6
12/2019,85012,4.94
01/2020,85012,5.02
02/2020,85012,0.19
03/2020,85012,4.89
04/2020,85012,4.78
05/2020,85012,4.89
06/2020,85012,4.18
07/2020,85012,4.15
08/2020,85012,4.58
09/2020,85012,4.39
10/2020,85012,4.89
11/2020,85012,4.8
12/2020,85012,4.95
01/2021,85012,4.83
02/2021,85012,4.73
03/2021,85012,4.83
04/2021,85012,4.32
05/2021,85012,4.67
06/2021,85012,4.54
07/2021,85012,4.77
08/2021,85012,4.93
09/2021,85012,4.96
10/2021,85012,4.91
11/2021,85012,4.72
12/2021,85012,4.65
01/2022,85012,4.84
02/2022,85012,4.32
03/2022,85012,4.86
04/2022,85012,4.72
05/2022,85012,4.85
06/2022,85012,4.47
07/2022,85012,4.37
08/2022,85012,4.42
09/2022,85012,4.33
10/2022,85012,4.38
11/2022,85012,3.92
12/2022,85012,4.16
01/2023,85012,4.21
02/2023,85012,3.72
03/2023,85012,4.08
04/2023,85012,4.02
05/2023,85012,4.24
06/2023,85012,3.95
07/2023,85012,3.98
08/2023,85012,4.1
09/2023,85012,4.12
10/2023,85012,4.09
11/2023,85012,4.02
12/2023,85012,3.89
01/2018,85013,5.17
02/2018,85013,4.55
03/2018,85013,4.63
04/2018,85013,4.92
05/2018,85013,5.01
06/2018,85013,4.61
07/2018,85013,4.84
08/2018,85013,4.83
09/2018,85013,4.78
10/2018,85013,4.97
11/2018,85013,4.63
12/2018,85013,4.73
01/2019,85013,4.74
02/2019,85013,4.16
03/2019,85013,4.58
04/2019,85013,4.64
05/2019,85013,5.01
06/2019,85013,4.82
07/2019,85013,4.8
08/2019,85013,4.9
09/2019,85013,4.7
10/2019,85013,4.87
11/2019,85013,4.6
12/2019,85013,4.94
01/2020,85013,5.02
02/2020,85013,0.19
03/2020,85013,4.89
04/2020,85013,4.78
05/2020,85013,4.89
06/2020,85013,4.18
07/2020,85013,4.15
08/2020,85013,4.58
09/2020,85013,4.39
10/2020,85013,4.89
11/2020,85013,4.8
12/2020,85013,4.95
01/2021,85013,4.83
02/2021,85013,4.73
03/2021,85013,4.83
04/2021,85013,4.32
05/2021,85013,4.67
06/2021,85013,4.54
07/2021,85013,4.77
08/2021,85013,4.93
09/2021,85013,4.96
10/2021,85013,4.91
11/2021,85013,4.72
12/2021,85013,4.65
01/2022,85013,4.84
02/2022,85013,4.32
03/2022,85013,4.86
04/2022,85013,4.72
05/2022,85013,4.85
06/2022,85013,4.47
07/2022,85013,4.37
08/2022,85013,4.42
09/2022,85013,4.33
10/2022,85013,4.38
11/2022,85013,3.92
12/2022,85013,4.16
01/2023,85013,4.21
02/2023,85013,3.72
03/2023,85013,4.08
04/2023,85013,4.02
05/2023,85013,4.24
06/2023,85013,3.95
07/2023,85013,3.98
08/2023,85013,4.1
09/2023,85013,4.12
10/2023,85013,4.09
11/2023,85013,4.02
12/2023,85013,3.89
01/2018,85014,5.17
02/2018,85014,4.55
03/2018,85014,4.63
04/2018,85014,4.92
05/2018,85014,5.01
06/2018,85014,4.61
07/2018,85014,4.84
08/2018,85014,4.83
09/2018,85014,4.78
10/2018,85014,4.97
11/2018,85014,4.63
12/2018,85014,4.73
01/2019,85014,4.74
02/2019,85014,4.16
03/2019,85014,4.58
04/2019,85014,4.64
05/2019,85014,5.01
06/2019,85014,4.82
07/2019,85014,4.8
08/2019,85014,4.9
09/2019,85014,4.7
10/2019,85014,4.87
11/2019,85014,4.6
12/2019,85014,4.94
01/2020,85014,5.02
02/2020,85014,0.19
03/2020,85014,4.89
04/2020,85014,4.78
05/2020,85014,4.89
06/2020,85014,4.18
07/2020,85014,4.15
08/2020,85014,4.58
09/2020,85014,4.39
10/2020,85014,4.89
11/2020,85014,4.8
12/2020,85014,4.95
01/2021,85014,4.83
02/2021,85014,4.73
03/2021,85014,4.83
04/2021,85014,4.32
05/2021,85014,4.67
06/2021,85014,4.54
07/2021,85014,4.77
08/2021,85014,4.93
09/2021,85014,4.96
10/2021,85014,4.91
11/2021,85014,4.72
12/2021,85014,4.65
01/2022,85014,4.84
02/2022,85014,4.32
03/2022,85014,4.86
04/2022,85014,4.72
05/2022,85014,4.85
06/2022,85014,4.47
07/2022,85014,4.37
08/2022,85014,4.42
09/2022,85014,4.33
10/2022,85014,4.38
11/2022,85014,3.92
12/2022,85014,4.16
01/2023,85014,4.21
02/2023,85014,3.72
03/2023,85014,4.08
04/2023,85014,4.02
05/2023,85014,4.24
06/2023,85014,3.95
07/2023,85014,3.98
08/2023,85014,4.1
09/2023,85014,4.12
10/2023,85014,4.09
11/2023,85014,4.02
12/2023,85014,3.89
01/2018,85015,5.17
02/2018,85015,4.55
03/2018,85015,4.63
04/2018,85015,4.92
05/2018,85015,5.01
06/2018,85015,4.61
07/2018,85015,4.84
08/2018,85015,4.83
09/2018,85015,4.78
10/2018,85015,4.97
11/2018,85015,4.63
12/2018,85015,4.73
01/2019,85015,4.74
02/2019,85015,4.16
03/2019,85015,4.58
04/2019,85015,4.64
05/2019,85015,5.01
06/2019,85015,4.82
07/2019,85015,4.8
08/2019,85015,4.9
09/2019,85015,4.7
10/2019,85015,4.87
11/2019,85015,4.6
12/2019,85015,4.94
01/2020,85015,5.02
02/2020,85015,0.19
03/2020,85015,4.89
04/2020,85015,4.78
05/2020,85015,4.89
06/2020,85015,4.18
07/2020,85015,4.15
08/2020,85015,4.58
09/2020,85015,4.39
10/2020,85015,4.89
11/2020,85015,4.8
12/2020,85015,4.95
01/2021,85015,4.83
02/2021,85015,4.73
03/2021,85015,4.83
04/2021,85015,4.32
05/2021,85015,4.67
06/2021,85015,4.54
07/2021,85015,4.77
08/2021,85015,4.93
09/2021,85015,4.96
10/2021,85015,4.91
11/2021,85015,4.72
12/2021,85015,4.65
01/2022,85015,4.84
02/2022,85015,4.32
03/2022,85015,4.86
04/2022,85015,4.72
05/2022,85015,4.85
06/2022,85015,4.47
07/2022,85015,4.37
08/2022,85015,4.42
09/2022,85015,4.33
10/2022,85015,4.38
11/2022,85015,3.92
12/2022,85015,4.16
01/2023,85015,4.21
02/2023,85015,3.72
03/2023,85015,4.08
04/2023,85015,4.02
05/2023,85015,4.24
06/2023,85015,3.95
07/2023,85015,3.98
08/2023,85015,4.1
09/2023,85015,4.12
10/2023,85015,4.09
11/2023,85015,4.02
12/2023,85015,3.89
01/2018,85016,5.17
02/2018,85016,4.55
03/2018,85016,4.63
04/2018,85016,4.92
05/2018,85016,5.01
06/2018,85016,4.61
07/2018,85016,4.84
08/2018,85016,4.83
09/2018,85016,4.78
10/2018,85016,4.97
11/2018,85016,4.63
12/2018,85016,4.73
01/2019,85016,4.74
02/2019,85016,4.16
03/2019,85016,4.58
04/2019,85016,4.64
05/2019,85016,5.01
06/2019,85016,4.82
07/2019,85016,4.8
08/2019,85016,4.9
09/2019,85016,4.7
10/2019,85016,4.87
11/2019,85016,4.6
12/2019,85016,4.94
01/2020,85016,5.02
02/2020,85016,0.19
03/2020,85016,4.89
04/2020,85016,4.78
05/2020,85016,4.89
06/2020,85016,4.18
07/2020,85016,4.15
08/2020,85016,4.58
09/2020,85016,4.39
10/2020,85016,4.89
11/2020,85016,4.8
12/2020,85016,4.95
01/2021,85016,4.83
02/2021,85016,4.73
03/2021,85016,4.83
04/2021,85016,4.32
05/2021,85016,4.67
06/2021,85016,4.54
07/2021,85016,4.77
08/2021,85016,4.93
09/2021,85016,4.96
10/2021,85016,4.91
11/2021,85016,4.72
12/2021,85016,4.65
01/2022,85016,4.84
02/2022,85016,4.32
03/2022,85016,4.86
04/2022,85016,4.72
05/2022,85016,4.85
06/2022,85016,4.47
07/2022,85016,4.37
08/2022,85016,4.42
09/2022,85016,4.33
10/2022,85016,4.38
11/2022,85016,3.92
12/2022,85016,4.16
01/2023,85016,4.21
02/2023,85016,3.72
03/2023,85016,4.08
04/2023,85016,4.02
05/2023,85016,4.24
06/2023,85016,3.95
07/2023,85016,3.98
08/2023,85016,4.1
09/2023,85016,4.12
10/2023,85016,4.09
11/2023,85016,4.02
12/2023,85016,3.89
01/2018,85017,5.17
02/2018,85017,4.55
03/2018,85017,4.63
04/2018,85017,4.92
05/2018,85017,5.01
06/2018,85017,4.61
07/2018,85017,4.84
08/2018,85017,4.83
09/2018,85017,4.78
10/2018,85017,4.97
11/2018,85017,4.63
