RegionName,2018,2019,2020,2021,2022,2023
1001,211820.51730888584,219338.84879508743,231587.61183188143,260022.6101154798,287071.9955935097,302546.72306490014
1002,336170.31234433333,344252.0143231699,360982.3424910668,402129.6213479352,445057.6547076686,476177.5056844833
1005,233761.2530637901,243362.6654982461,258530.1036288872,301516.5084614347,335554.47374054824,358085.2871784065
1007,287093.33424055594,295468.2075913363,312644.4523606522,353754.2074580243,393306.30540998577,414597.7233351436
1008,230683.26691297325,237090.9491331991,251275.08568695665,288534.3853984174,318321.9079050959,335959.8424241599
1010,263008.7783578415,271698.81714218267,289570.7807247436,333974.24006508576,366867.2638728521,381475.7544748776
1011,177777.0742965679,183968.1041050538,196450.93459429577,227959.00335033765,251360.30149803168,260207.16230609737
1012,247040.26530919096,250773.76274281103,265809.7307905283,306106.1733227997,340745.62159764895,355513.7946605282
1013,185605.9966349008,192732.00155599625,207039.7898332936,240399.4495991332,265146.8897672344,279349.3158403241
1020,195454.7818456902,202603.90844647528,217860.4458349529,251039.48078860895,274787.55908823694,288408.949039062
1022,123359.22071329538,130120.87213790925,139636.26321105397,161285.2190456919,184241.4305214783,202100.12273984356
1026,257960.32302946853,260453.50683461988,274442.5638895704,311005.0307413993,337918.7932959368,349622.6282610679
1027,270706.49798639567,281472.9649201859,296335.42552391486,328814.05750462785,366117.2026852242,390696.20542574365
1028,270569.34820391395,278692.1105148894,291567.93670497806,329623.2843923799,362019.678231868,378097.226237746
1030,249048.85745881023,256558.0078084948,271211.2987480104,305655.41432130313,333246.95959489164,348927.37064098654
1031,230419.97007054952,243362.418880356,262332.533772045,301207.900487808,331395.2274156544,352655.3233358344
1032,229345.22412988477,237447.82641376395,257819.195042465,293594.84122411703,325769.2692625035,342458.14232092607
1033,259285.7172267805,266882.025648439,278958.2438341271,313132.6430932826,345663.4673521727,363103.32916919305
1034,269930.4055275637,275795.7291287169,286118.96061573684,326706.2927122141,357471.6742806283,372562.61711214064
1035,349983.3088542016,354428.64021785726,370306.60025675775,418149.2418230136,458474.8852289301,482121.834793441
1036,272483.9515772651,277117.6990877419,292136.52992908604,332510.03119789885,365663.7153915064,385942.2969253605
1037,284013.5550940697,292820.6678899059,310307.6546451776,353810.5190391906,387399.1969570122,401769.67268700217
1038,339930.7849832152,342877.39587194,362565.08681176667,403102.0767130325,436958.08010488254,461661.1109073464
1039,302874.7276558585,306341.39425652014,319740.76057417446,368138.5035391767,413784.12630045885,433953.0779187493
1040,195991.84251887328,207495.4203226361,221868.82096329684,253201.0524724015,275378.15972055617,291336.56027477933
1050,223004.29905859963,227719.69180067547,238744.9525582253,278381.2942899791,307605.2766094544,319239.1009572858
1053,290989.2601810569,300041.42383856204,312347.24896328856,349535.0355662632,381790.51656069694,408089.5509081318
1054,319812.8855926688,325976.9500001107,343434.5811944197,400374.6725711424,443397.22988484567,461213.52698329854
1056,230307.18699618184,235639.2184828004,248942.03235713192,281547.44639380544,306658.33847781963,324616.75490739243
1057,247346.96308901263,256029.6701140758,269466.2088481019,311112.2402199242,341092.0005349778,355220.5590567975
1060,324857.0244820048,333623.958358483,350060.84526935563,390096.9763322893,424100.54771977727,452561.247708437
1062,306959.69509263843,315107.11554257787,327044.8886133294,368023.4655299264,404908.6179231652,431964.9021345034
1068,283838.0083522844,298601.0705818425,317614.13068523526,367325.3718296706,407494.9677394105,427603.654243957
1069,195784.7901201458,203079.3417698928,218034.6661847999,250310.6798001133,276240.719985196,291902.8945492165
1070,229981.4850667485,235516.8663030636,246915.00472208887,284350.1919456261,306505.34477409016,309499.74796221615
1071,215677.37320413813,221356.54201955823,237415.14188873427,268917.4880532764,293349.6165698383,308456.08783170214
1072,261962.17932741228,270398.2804219558,283469.545702089,333981.2484940049,371474.6547637086,381519.144044756
1073,309727.96085136203,321906.8798410444,338767.19825796527,380814.6316452315,419652.1873656767,441981.2920017988
1075,245101.3250883387,254775.59590478384,269072.5611022568,300797.40261677734,330711.6436403122,348633.4310984974
1077,262556.66479446326,268978.3831393071,282075.79641199735,316514.14277822734,348924.94240351435,365754.6104831058
1080,N/A,N/A,191426.39919429028,219175.5481405918,245017.2571255904,264016.3143280864
1081,197621.61991365772,204878.0767291619,222093.89311456608,257094.71008598307,286851.8760515015,301038.92697726004
1082,204526.15850355825,214440.74202098628,229882.52993187643,269634.95232464635,300027.61736613844,314216.67070903216
1083,213302.93052393224,221666.6908964635,240752.1729028736,280717.4237536859,309072.5553069107,325698.7768375603
1085,240589.5745344454,244838.0008261517,258807.19505498305,292236.47084486985,320390.632976671,337109.3675197501
1089,223206.1467563778,230574.5077159296,242569.81527051164,275286.7396391992,301726.8827309753,316088.5445898107
