2018,2019,2020,2021,2022,2023,zipcode
14307.0,15220.0,15904.0,16277.0,17086.0,19516.0,917
23434.0,25117.0,29521.0,31993.0,35000.0,36872.0,918
25841.0,25809.0,26153.0,26217.0,28562.0,29914.0,920
19358.0,18763.0,19158.0,20147.0,21419.0,21797.0,921
14241.0,14159.0,16052.0,16950.0,18389.0,18482.0,923
18832.0,18176.0,19023.0,19876.0,21046.0,22433.0,924
9468.0,11090.0,10928.0,12880.0,13016.0,14940.0,925
34781.0,35788.0,35681.0,35680.0,38432.0,39543.0,926
33502.0,35268.0,36994.0,36638.0,40213.0,39838.0,927
26392.0,27229.0,27575.0,29319.0,31500.0,33380.0,949
N/A,N/A,N/A,20662.0,21354.0,22222.0,951
14911.0,14991.0,16196.0,17018.0,19392.0,21960.0,952
29146.0,29019.0,27688.0,28459.0,32957.0,33888.0,953
23149.0,23127.0,23859.0,25506.0,27243.0,28674.0,956
24612.0,26667.0,27115.0,26384.0,28240.0,29663.0,957
30049.0,30466.0,30307.0,30418.0,31603.0,31400.0,959
29197.0,29511.0,29811.0,34346.0,34141.0,37015.0,961
16062.0,15497.0,16053.0,17315.0,18478.0,20134.0,962
14821.0,15276.0,14279.0,15407.0,15872.0,16516.0,965
47315.0,48163.0,48174.0,50154.0,51732.0,56421.0,966
48175.0,49099.0,49500.0,47372.0,55132.0,60353.0,968
51910.0,50419.0,47489.0,50730.0,55929.0,58205.0,969
20608.0,22480.0,24972.0,26849.0,31484.0,32098.0,971
31304.0,32377.0,31729.0,33822.0,35661.0,38087.0,976
36270.0,34701.0,33087.0,33503.0,34705.0,35521.0,979
24970.0,24895.0,25360.0,25569.0,24244.0,26550.0,982
26259.0,25750.0,26385.0,28472.0,30595.0,33930.0,983
25338.0,26156.0,27560.0,29693.0,33270.0,35012.0,985
33042.0,32555.0,32596.0,33719.0,36396.0,40295.0,987
62144.0,63949.0,66088.0,72444.0,73398.0,71924.0,1001
55858.0,61159.0,60540.0,65013.0,74265.0,69411.0,1002
68278.0,67302.0,80060.0,103477.0,97409.0,97390.0,1005
93300.0,91191.0,94812.0,101076.0,99500.0,99056.0,1007
75250.0,76333.0,78988.0,79573.0,93405.0,90625.0,1008
81250.0,80714.0,72644.0,64809.0,68510.0,70763.0,1009
84471.0,70063.0,75577.0,84830.0,88438.0,101477.0,1010
64904.0,76500.0,71921.0,75640.0,80640.0,87012.0,1011
64091.0,67321.0,73750.0,68894.0,73906.0,75526.0,1012
40594.0,43808.0,46007.0,52721.0,62000.0,64039.0,1013
58226.0,60561.0,58909.0,61963.0,67617.0,70971.0,1020
41863.0,46488.0,43525.0,50134.0,52207.0,56307.0,1022
55268.0,58438.0,71000.0,76100.0,83875.0,98438.0,1026
62772.0,67119.0,66339.0,64330.0,69337.0,73657.0,1027
88442.0,87748.0,90579.0,95284.0,100610.0,100997.0,1028
72813.0,87727.0,92361.0,88750.0,93125.0,99188.0,1029
74139.0,76000.0,79713.0,86136.0,87324.0,92485.0,1030
42188.0,38173.0,45549.0,49071.0,51250.0,58125.0,1031
80500.0,68750.0,81875.0,83750.0,88077.0,79583.0,1032
95987.0,96979.0,101886.0,106821.0,102248.0,110188.0,1033
84926.0,87750.0,90625.0,91176.0,104583.0,103603.0,1034
64276.0,74364.0,86690.0,101458.0,112450.0,117580.0,1035
85943.0,91646.0,94393.0,99400.0,110320.0,110703.0,1036
96302.0,80556.0,83036.0,85250.0,78047.0,84022.0,1037
66818.0,72045.0,85449.0,90893.0,103125.0,112083.0,1038
77679.0,94191.0,94256.0,99896.0,109167.0,115114.0,1039
40656.0,40769.0,42537.0,45045.0,49007.0,51892.0,1040
63427.0,67750.0,73839.0,70800.0,84333.0,96328.0,1050
59074.0,60823.0,50357.0,56094.0,60875.0,88646.0,1053
91500.0,90978.0,93942.0,97188.0,105833.0,113750.0,1054
72040.0,73458.0,73516.0,72563.0,76395.0,78981.0,1056
82444.0,83008.0,77156.0,72567.0,85614.0,90436.0,1057
60020.0,61798.0,67356.0,70467.0,79604.0,75077.0,1060
73954.0,75179.0,76959.0,78526.0,87409.0,87800.0,1062
N/A,N/A,N/A,N/A,N/A,250000.0,1063
N/A,N/A,N/A,N/A,20202.0,N/A,1066
84375.0,88571.0,85326.0,85078.0,93906.0,96207.0,1068
63398.0,63750.0,66920.0,64300.0,71439.0,79725.0,1069
53750.0,60000.0,63750.0,71000.0,60313.0,72083.0,1070
75491.0,75592.0,81058.0,94286.0,105417.0,107292.0,1071
78696.0,80625.0,81042.0,79226.0,99000.0,103188.0,1072
93854.0,104577.0,104052.0,110200.0,114531.0,125534.0,1073
64840.0,86414.0,88775.0,81681.0,88190.0,76859.0,1074
65898.0,69346.0,73601.0,82278.0,92740.0,93646.0,1075
77734.0,73776.0,84896.0,100337.0,106779.0,108833.0,1077
31875.0,31594.0,32963.0,65184.0,N/A,N/A,1079
58139.0,65741.0,78576.0,80087.0,89335.0,87188.0,1080
54647.0,69250.0,74375.0,85938.0,88636.0,87337.0,1081
54107.0,56637.0,58131.0,60281.0,66607.0,71023.0,1082
70288.0,60323.0,78252.0,81078.0,87511.0,92558.0,1083
83750.0,75938.0,71875.0,78750.0,86538.0,91667.0,1084
64026.0,68042.0,74784.0,74341.0,78901.0,83821.0,1085
47232.0,54286.0,42111.0,60260.0,51591.0,53472.0,1088
51472.0,53053.0,54516.0,60023.0,67297.0,70401.0,1089
79907.0,108725.0,60396.0,62500.0,69048.0,70938.0,1092
89643.0,91563.0,97083.0,96500.0,130781.0,N/A,1093
25104.0,N/A,N/A,N/A,87188.0,109000.0,1094
107361.0,108965.0,111487.0,124327.0,126689.0,124682.0,1095
83080.0,82574.0,81447.0,89643.0,106250.0,105729.0,1096
N/A,N/A,63750.0,70909.0,N/A,N/A,1097
78393.0,80192.0,81875.0,86364.0,91181.0,93000.0,1098
18338.0,26135.0,17736.0,20978.0,21288.0,21458.0,1103
31113.0,34937.0,40884.0,41402.0,47413.0,47530.0,1104
19921.0,19427.0,21875.0,23331.0,23948.0,22994.0,1105
111545.0,121141.0,123644.0,129339.0,137597.0,143961.0,1106
27131.0,26258.0,30457.0,31698.0,30825.0,31969.0,1107
40915.0,43235.0,41807.0,41153.0,48465.0,51851.0,1108
34329.0,35339.0,35000.0,37887.0,42928.0,46821.0,1109
61786.0,63571.0,70296.0,70295.0,78354.0,80906.0,1118
44091.0,46985.0,48324.0,50729.0,54326.0,59172.0,1119
61875.0,61659.0,67422.0,79015.0,77050.0,92125.0,1128
61645.0,58621.0,61769.0,75944.0,80352.0,92500.0,1129
41002.0,43128.0,44291.0,47234.0,51410.0,57113.0,1151
49385.0,52223.0,57160.0,60060.0,67262.0,68879.0,1201
49301.0,53223.0,47908.0,49691.0,54677.0,56285.0,1220
