year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2020,85023,55111.0,51.71,N/A,295998.9
2021,85023,62185.0,56.86,N/A,367992.72
2022,85023,67986.0,53.64,N/A,444478.58
2023,85023,72442.0,48.42,N/A,423418.27
2018,85024,72688.0,57.67,N/A,295346.22
2019,85024,76711.0,56.76,N/A,310116.97
2020,85024,82618.0,51.71,N/A,339120.57
2021,85024,81359.0,56.86,N/A,417609.13
2022,85024,91385.0,53.64,N/A,509321.12
2023,85024,97759.0,48.42,N/A,489399.51
2018,85025,N/A,55.56,N/A,N/A
2019,85025,N/A,54.57,N/A,N/A
2020,85025,N/A,49.62,N/A,N/A
2021,85025,N/A,54.65,N/A,N/A
2022,85025,N/A,51.74,N/A,N/A
2023,85025,N/A,46.73,N/A,N/A
2018,85026,N/A,57.67,N/A,N/A
2019,85026,N/A,56.76,N/A,N/A
2020,85026,N/A,51.71,N/A,N/A
2021,85026,N/A,56.86,N/A,N/A
2022,85026,N/A,53.64,N/A,N/A
2023,85026,N/A,48.42,N/A,N/A
2018,85027,56184.0,57.67,N/A,221627.27
2019,85027,58877.0,56.76,N/A,237258.32
2020,85027,63591.0,51.71,N/A,262759.42
2021,85027,64886.0,56.86,N/A,328003.16
2022,85027,71362.0,53.64,N/A,398994.18
2023,85027,73255.0,48.42,N/A,382567.63
2018,85028,89110.0,57.67,N/A,399590.36
2019,85028,92357.0,56.76,N/A,421612.28
2020,85028,97865.0,51.71,N/A,464859.32
2021,85028,105472.0,56.86,N/A,571660.97
2022,85028,112865.0,53.64,N/A,687987.59
2023,85028,119436.0,48.42,N/A,672532.96
2018,85029,47365.0,57.67,N/A,207804.17
2019,85029,48547.0,56.76,N/A,226061.96
2020,85029,50067.0,51.71,N/A,253416.46
2021,85029,53565.0,56.86,N/A,316556.94
2022,85029,57802.0,53.64,N/A,381761.73
2023,85029,60384.0,48.42,N/A,362361.31
2018,85030,N/A,57.67,N/A,N/A
2019,85030,N/A,56.76,N/A,N/A
2020,85030,N/A,51.71,N/A,N/A
2021,85030,N/A,56.86,N/A,N/A
2022,85030,N/A,53.64,N/A,N/A
2023,85030,N/A,48.42,N/A,N/A
