zipcode,2018,2019,2020,2021,2022,2023
00680,13911.0,14217.0,14825.0,15340.0,16535.0,17857.0
00682,15029.0,14706.0,14841.0,15678.0,17385.0,18067.0
00683,15523.0,16332.0,16441.0,16764.0,18132.0,18231.0
00685,14617.0,15185.0,15861.0,16785.0,17481.0,17909.0
00687,20589.0,20941.0,21191.0,21598.0,22282.0,23010.0
00688,17231.0,17874.0,17305.0,16181.0,17273.0,18014.0
00690,17622.0,18288.0,17246.0,18142.0,23343.0,24386.0
00692,19094.0,20585.0,21194.0,22144.0,25289.0,25486.0
00693,19119.0,19576.0,19970.0,21647.0,23791.0,24072.0
00694,,,,,,15938.0
00698,15019.0,14794.0,14811.0,16403.0,19818.0,21921.0
00703,17129.0,18846.0,20188.0,22023.0,23045.0,22147.0
00704,14293.0,17275.0,16734.0,18917.0,19845.0,23330.0
00705,19516.0,20214.0,20271.0,21282.0,22679.0,21806.0
00707,19596.0,20760.0,20419.0,21365.0,21765.0,19173.0
00714,17095.0,17615.0,16263.0,14933.0,18496.0,18931.0
00715,13070.0,12188.0,13288.0,13787.0,16250.0,15743.0
00716,18818.0,17969.0,17616.0,19164.0,20184.0,19522.0
00717,12251.0,12121.0,11838.0,12228.0,14164.0,13282.0
00718,19318.0,19372.0,19220.0,18333.0,20414.0,21481.0
00719,19757.0,18922.0,18804.0,19197.0,20533.0,21089.0
00720,13408.0,15295.0,16072.0,15485.0,16751.0,19049.0
00723,15826.0,16063.0,17197.0,18107.0,20967.0,23599.0
00725,20920.0,21350.0,22847.0,24262.0,25786.0,27505.0
00727,31401.0,31688.0,30570.0,31204.0,33678.0,33403.0
00728,19047.0,19340.0,20131.0,20542.0,21239.0,20351.0
00729,20920.0,21469.0,22075.0,24289.0,26978.0,28765.0
00730,15431.0,15723.0,16036.0,16734.0,17517.0,18077.0
00731,17083.0,15473.0,15781.0,15097.0,16944.0,16917.0
00735,19184.0,18395.0,19097.0,20864.0,23125.0,23009.0
00736,21000.0,21894.0,22904.0,24099.0,27158.0,28652.0
00738,19404.0,19859.0,20808.0,22162.0,24643.0,25365.0
00739,20098.0,20065.0,20597.0,23021.0,24887.0,26801.0
00740,13136.0,12944.0,9611.0,10984.0,18784.0,23173.0
00741,22073.0,22121.0,21506.0,24143.0,23821.0,25827.0
00745,22782.0,22960.0,23975.0,23882.0,26189.0,26980.0
00751,17567.0,18087.0,17963.0,18458.0,20241.0,20947.0
00754,18895.0,19403.0,19408.0,19320.0,19528.0,21193.0
00757,17640.0,19827.0,20000.0,20786.0,22764.0,23350.0
00765,15271.0,14880.0,14049.0,14942.0,17062.0,17531.0
00766,19746.0,19682.0,19170.0,20774.0,22511.0,24906.0
00767,15999.0,16295.0,16828.0,17390.0,20126.0,21414.0
00769,19928.0,19700.0,18326.0,18994.0,20236.0,20514.0
00771,21499.0,21175.0,22097.0,23873.0,23343.0,25662.0
00772,15658.0,16107.0,14963.0,16425.0,17209.0,18408.0
00773,20829.0,21850.0,21805.0,22216.0,22585.0,23769.0
00775,23281.0,22667.0,24886.0,25104.0,25483.0,27614.0
00777,19139.0,19830.0,20718.0,22317.0,26052.0,28175.0
00778,33763.0,35183.0,35558.0,35690.0,39484.0,39564.0
00780,24287.0,21663.0,21724.0,23684.0,26075.0,26483.0
00782,12492.0,13683.0,14152.0,14978.0,16221.0,17090.0
00783,14748.0,14995.0,16815.0,19192.0,21701.0,24429.0
00784,16680.0,17415.0,17317.0,17821.0,19199.0,20347.0
00786,,37552.0,38798.0,,,
00791,19793.0,20269.0,21833.0,22316.0,26002.0,25925.0
00794,15970.0,17073.0,19024.0,19997.0,21278.0,22128.0
00795,20700.0,20471.0,20765.0,21252.0,22579.0,23391.0
00901,20943.0,21469.0,26204.0,27426.0,27926.0,25810.0
00906,102917.0,106518.0,109063.0,,,
00907,33167.0,36495.0,38798.0,38807.0,40293.0,42116.0
00909,16875.0,19443.0,21238.0,19512.0,25778.0,26066.0
00911,32833.0,35470.0,32290.0,34413.0,38125.0,44008.0
00912,22268.0,22292.0,27623.0,28011.0,27026.0,29418.0
00913,6878.0,6493.0,7428.0,5746.0,6449.0,6229.0
00915,13839.0,12802.0,13125.0,12921.0,12963.0,14502.0
00917,14307.0,15220.0,15904.0,16277.0,17086.0,19516.0
00918,23434.0,25117.0,29521.0,31993.0,35000.0,36872.0
00920,25841.0,25809.0,26153.0,26217.0,28562.0,29914.0
00921,19358.0,18763.0,19158.0,20147.0,21419.0,21797.0
00923,14241.0,14159.0,16052.0,16950.0,18389.0,18482.0
00924,18832.0,18176.0,19023.0,19876.0,21046.0,22433.0
00925,9468.0,11090.0,10928.0,12880.0,13016.0,14940.0
00926,34781.0,35788.0,35681.0,35680.0,38432.0,39543.0
00927,33502.0,35268.0,36994.0,36638.0,40213.0,39838.0
00949,26392.0,27229.0,27575.0,29319.0,31500.0,33380.0
00951,,,,20662.0,21354.0,22222.0
00952,14911.0,14991.0,16196.0,17018.0,19392.0,21960.0
00953,29146.0,29019.0,27688.0,28459.0,32957.0,33888.0
00956,23149.0,23127.0,23859.0,25506.0,27243.0,28674.0
00957,24612.0,26667.0,27115.0,26384.0,28240.0,29663.0
00959,30049.0,30466.0,30307.0,30418.0,31603.0,31400.0
00961,29197.0,29511.0,29811.0,34346.0,34141.0,37015.0
00962,16062.0,15497.0,16053.0,17315.0,18478.0,20134.0
00965,14821.0,15276.0,14279.0,15407.0,15872.0,16516.0
00966,47315.0,48163.0,48174.0,50154.0,51732.0,56421.0
00968,48175.0,49099.0,49500.0,47372.0,55132.0,60353.0
00969,51910.0,50419.0,47489.0,50730.0,55929.0,58205.0
00971,20608.0,22480.0,24972.0,26849.0,31484.0,32098.0
00976,31304.0,32377.0,31729.0,33822.0,35661.0,38087.0
00979,36270.0,34701.0,33087.0,33503.0,34705.0,35521.0
00982,24970.0,24895.0,25360.0,25569.0,24244.0,26550.0
00983,26259.0,25750.0,26385.0,28472.0,30595.0,33930.0
00985,25338.0,26156.0,27560.0,29693.0,33270.0,35012.0
00987,33042.0,32555.0,32596.0,33719.0,36396.0,40295.0
01001,62144.0,63949.0,66088.0,72444.0,73398.0,71924.0
01002,55858.0,61159.0,60540.0,65013.0,74265.0,69411.0
01005,68278.0,67302.0,80060.0,103477.0,97409.0,97390.0
01007,93300.0,91191.0,94812.0,101076.0,99500.0,99056.0
01008,75250.0,76333.0,78988.0,79573.0,93405.0,90625.0
01009,81250.0,80714.0,72644.0,64809.0,68510.0,70763.0
01010,84471.0,70063.0,75577.0,84830.0,88438.0,101477.0
01011,64904.0,76500.0,71921.0,75640.0,80640.0,87012.0
01012,64091.0,67321.0,73750.0,68894.0,73906.0,75526.0
01013,40594.0,43808.0,46007.0,52721.0,62000.0,64039.0
01020,58226.0,60561.0,58909.0,61963.0,67617.0,70971.0
01022,41863.0,46488.0,43525.0,50134.0,52207.0,56307.0
01026,55268.0,58438.0,71000.0,76100.0,83875.0,98438.0
01027,62772.0,67119.0,66339.0,64330.0,69337.0,73657.0
01028,88442.0,87748.0,90579.0,95284.0,100610.0,100997.0
01029,72813.0,87727.0,92361.0,88750.0,93125.0,99188.0
01030,74139.0,76000.0,79713.0,86136.0,87324.0,92485.0
01031,42188.0,38173.0,45549.0,49071.0,51250.0,58125.0
01032,80500.0,68750.0,81875.0,83750.0,88077.0,79583.0
01033,95987.0,96979.0,101886.0,106821.0,102248.0,110188.0
01034,84926.0,87750.0,90625.0,91176.0,104583.0,103603.0
01035,64276.0,74364.0,86690.0,101458.0,112450.0,117580.0
01036,85943.0,91646.0,94393.0,99400.0,110320.0,110703.0
01037,96302.0,80556.0,83036.0,85250.0,78047.0,84022.0
01038,66818.0,72045.0,85449.0,90893.0,103125.0,112083.0
01039,77679.0,94191.0,94256.0,99896.0,109167.0,115114.0
01040,40656.0,40769.0,42537.0,45045.0,49007.0,51892.0
01050,63427.0,67750.0,73839.0,70800.0,84333.0,96328.0
01053,59074.0,60823.0,50357.0,56094.0,60875.0,88646.0
01054,91500.0,90978.0,93942.0,97188.0,105833.0,113750.0
01056,72040.0,73458.0,73516.0,72563.0,76395.0,78981.0
01057,82444.0,83008.0,77156.0,72567.0,85614.0,90436.0
01060,60020.0,61798.0,67356.0,70467.0,79604.0,75077.0
01062,73954.0,75179.0,76959.0,78526.0,87409.0,87800.0
01063,,,,,,250000.0
01066,,,,,20202.0,
01068,84375.0,88571.0,85326.0,85078.0,93906.0,96207.0
01069,63398.0,63750.0,66920.0,64300.0,71439.0,79725.0
01070,53750.0,60000.0,63750.0,71000.0,60313.0,72083.0
01071,75491.0,75592.0,81058.0,94286.0,105417.0,107292.0
01072,78696.0,80625.0,81042.0,79226.0,99000.0,103188.0
01073,93854.0,104577.0,104052.0,110200.0,114531.0,125534.0
01074,64840.0,86414.0,88775.0,81681.0,88190.0,76859.0
01075,65898.0,69346.0,73601.0,82278.0,92740.0,93646.0
01077,77734.0,73776.0,84896.0,100337.0,106779.0,108833.0
01079,31875.0,31594.0,32963.0,65184.0,,
01080,58139.0,65741.0,78576.0,80087.0,89335.0,87188.0
01081,54647.0,69250.0,74375.0,85938.0,88636.0,87337.0
01082,54107.0,56637.0,58131.0,60281.0,66607.0,71023.0
01083,70288.0,60323.0,78252.0,81078.0,87511.0,92558.0
01084,83750.0,75938.0,71875.0,78750.0,86538.0,91667.0
01085,64026.0,68042.0,74784.0,74341.0,78901.0,83821.0
01088,47232.0,54286.0,42111.0,60260.0,51591.0,53472.0
01089,51472.0,53053.0,54516.0,60023.0,67297.0,70401.0
01092,79907.0,108725.0,60396.0,62500.0,69048.0,70938.0
01093,89643.0,91563.0,97083.0,96500.0,130781.0,
01094,25104.0,,,,87188.0,109000.0
01095,107361.0,108965.0,111487.0,124327.0,126689.0,124682.0
01096,83080.0,82574.0,81447.0,89643.0,106250.0,105729.0
01097,,,63750.0,70909.0,,
01098,78393.0,80192.0,81875.0,86364.0,91181.0,93000.0
01103,18338.0,26135.0,17736.0,20978.0,21288.0,21458.0
01104,31113.0,34937.0,40884.0,41402.0,47413.0,47530.0
01105,19921.0,19427.0,21875.0,23331.0,23948.0,22994.0
01106,111545.0,121141.0,123644.0,129339.0,137597.0,143961.0
01107,27131.0,26258.0,30457.0,31698.0,30825.0,31969.0
01108,40915.0,43235.0,41807.0,41153.0,48465.0,51851.0
01109,34329.0,35339.0,35000.0,37887.0,42928.0,46821.0
