ZIP,Year,Income
00601,2018,13092.0
00602,2018,16358.0
00603,2018,16603.0
00606,2018,12832.0
00610,2018,19309.0
00611,2018,
00612,2018,18171.0
00616,2018,16018.0
00617,2018,16735.0
00622,2018,15206.0
00623,2018,16280.0
00624,2018,17578.0
00627,2018,16831.0
00631,2018,9681.0
00637,2018,16887.0
00638,2018,14916.0
00641,2018,16795.0
00646,2018,29320.0
00647,2018,13674.0
00650,2018,19631.0
00652,2018,21650.0
00653,2018,12915.0
00656,2018,16902.0
00659,2018,17201.0
00660,2018,19394.0
00662,2018,17180.0
00664,2018,15253.0
00667,2018,13766.0
00669,2018,14816.0
00670,2018,13427.0
00674,2018,19211.0
00676,2018,14146.0
00677,2018,21673.0
00678,2018,16200.0
00680,2018,13911.0
00682,2018,15029.0
00683,2018,15523.0
00685,2018,14617.0
00687,2018,20589.0
00688,2018,17231.0
00690,2018,17622.0
00692,2018,19094.0
00693,2018,19119.0
00694,2018,
00698,2018,15019.0
00703,2018,17129.0
00704,2018,14293.0
00705,2018,19516.0
00707,2018,19596.0
00714,2018,17095.0
00715,2018,13070.0
00716,2018,18818.0
00717,2018,12251.0
00718,2018,19318.0
00719,2018,19757.0
00720,2018,13408.0
00723,2018,15826.0
00725,2018,20920.0
00727,2018,31401.0
00728,2018,19047.0
00729,2018,20920.0
00730,2018,15431.0
00731,2018,17083.0
00735,2018,19184.0
00736,2018,21000.0
00738,2018,19404.0
00739,2018,20098.0
00740,2018,13136.0
00741,2018,22073.0
00745,2018,22782.0
00751,2018,17567.0
00754,2018,18895.0
00757,2018,17640.0
00765,2018,15271.0
00766,2018,19746.0
00767,2018,15999.0
00769,2018,19928.0
00771,2018,21499.0
00772,2018,15658.0
00773,2018,20829.0
00775,2018,23281.0
00777,2018,19139.0
00778,2018,33763.0
00780,2018,24287.0
00782,2018,12492.0
00783,2018,14748.0
00784,2018,16680.0
00786,2018,
00791,2018,19793.0
00794,2018,15970.0
00795,2018,20700.0
00901,2018,20943.0
00906,2018,102917.0
00907,2018,33167.0
00909,2018,16875.0
00911,2018,32833.0
00912,2018,22268.0
00913,2018,6878.0
00915,2018,13839.0
00917,2018,14307.0
00918,2018,23434.0
00920,2018,25841.0
00921,2018,19358.0
00923,2018,14241.0
00924,2018,18832.0
00925,2018,9468.0
00926,2018,34781.0
00927,2018,33502.0
00949,2018,26392.0
00951,2018,
00952,2018,14911.0
00953,2018,29146.0
00956,2018,23149.0
00957,2018,24612.0
00959,2018,30049.0
00961,2018,29197.0
00962,2018,16062.0
00965,2018,14821.0
00966,2018,47315.0
00968,2018,48175.0
00969,2018,51910.0
00971,2018,20608.0
00976,2018,31304.0
00979,2018,36270.0
00982,2018,24970.0
00983,2018,26259.0
00985,2018,25338.0
00987,2018,33042.0
01001,2018,62144.0
01002,2018,55858.0
01005,2018,68278.0
01007,2018,93300.0
01008,2018,75250.0
01009,2018,81250.0
01010,2018,84471.0
01011,2018,64904.0
01012,2018,64091.0
01013,2018,40594.0
01020,2018,58226.0
01022,2018,41863.0
01026,2018,55268.0
01027,2018,62772.0
01028,2018,88442.0
01029,2018,72813.0
01030,2018,74139.0
01031,2018,42188.0
01032,2018,80500.0
01033,2018,95987.0
01034,2018,84926.0
01035,2018,64276.0
01036,2018,85943.0
01037,2018,96302.0
01038,2018,66818.0
01039,2018,77679.0
01040,2018,40656.0
01050,2018,63427.0
01053,2018,59074.0
01054,2018,91500.0
01056,2018,72040.0
01057,2018,82444.0
01060,2018,60020.0
01062,2018,73954.0
01063,2018,
01066,2018,
01068,2018,84375.0
01069,2018,63398.0
01070,2018,53750.0
01071,2018,75491.0
01072,2018,78696.0
01073,2018,93854.0
01074,2018,64840.0
01075,2018,65898.0
01077,2018,77734.0
01079,2018,31875.0
01080,2018,58139.0
01081,2018,54647.0
01082,2018,54107.0
01083,2018,70288.0
01084,2018,83750.0
01085,2018,64026.0
01088,2018,47232.0
01089,2018,51472.0
01092,2018,79907.0
01093,2018,89643.0
01094,2018,25104.0
01095,2018,107361.0
01096,2018,83080.0
01097,2018,
01098,2018,78393.0
01103,2018,18338.0
01104,2018,31113.0
01105,2018,19921.0
01106,2018,111545.0
01107,2018,27131.0
01108,2018,40915.0
01109,2018,34329.0
01118,2018,61786.0
01119,2018,44091.0
01128,2018,61875.0
01129,2018,61645.0
01151,2018,41002.0
01201,2018,49385.0
01220,2018,49301.0
01222,2018,69432.0
01223,2018,75852.0
01224,2018,37576.0
01225,2018,68264.0
01226,2018,59875.0
01230,2018,67674.0
01235,2018,66581.0
01236,2018,65833.0
01237,2018,78194.0
01238,2018,72744.0
01240,2018,72766.0
01242,2018,85789.0
01243,2018,69167.0
01244,2018,55417.0
01245,2018,75167.0
01247,2018,41807.0
01253,2018,77375.0
01254,2018,85313.0
01255,2018,69135.0
01256,2018,60197.0
01257,2018,94625.0
01258,2018,67500.0
01259,2018,60625.0
01260,2018,115208.0
01262,2018,31144.0
01264,2018,66875.0
01266,2018,71989.0
01267,2018,82863.0
01270,2018,83333.0
01301,2018,49312.0
01330,2018,71346.0
01331,2018,57164.0
01337,2018,67470.0
01338,2018,60625.0
01339,2018,61500.0
01340,2018,55980.0
01341,2018,100417.0
01342,2018,77202.0
01343,2018,76250.0
01344,2018,61359.0
01346,2018,63036.0
01347,2018,54250.0
01349,2018,64219.0
01350,2018,26458.0
01351,2018,78849.0
01354,2018,67083.0
01355,2018,68250.0
01360,2018,72083.0
01364,2018,46405.0
01366,2018,68405.0
01367,2018,54500.0
01368,2018,72083.0
01370,2018,57083.0
01373,2018,73639.0
01375,2018,61102.0
01376,2018,41496.0
01378,2018,56250.0
01379,2018,44531.0
01380,2018,
01420,2018,55277.0
01430,2018,97561.0
01431,2018,101357.0
01432,2018,91156.0
01434,2018,66477.0
01436,2018,58458.0
01438,2018,117917.0
01440,2018,50239.0
01450,2018,126883.0
01451,2018,155515.0
01452,2018,95530.0
01453,2018,58205.0
01460,2018,120638.0
01462,2018,101510.0
01463,2018,96750.0
01464,2018,70542.0
01467,2018,96806.0
01468,2018,70438.0
01469,2018,83602.0
01473,2018,98714.0
01474,2018,96750.0
01475,2018,71895.0
01501,2018,83441.0
01503,2018,104063.0
01504,2018,86513.0
01505,2018,98520.0
01506,2018,68125.0
01507,2018,97805.0
01510,2018,66094.0
01515,2018,84444.0
01516,2018,95567.0
01518,2018,64732.0
01519,2018,106644.0
01520,2018,105772.0
01521,2018,81680.0
01522,2018,101089.0
01523,2018,103857.0
01524,2018,71645.0
01525,2018,40888.0
01527,2018,81804.0
01529,2018,78704.0
01531,2018,89167.0
01532,2018,113608.0
01534,2018,92181.0
01535,2018,73599.0
01536,2018,108175.0
01537,2018,76389.0
01540,2018,68750.0
01541,2018,134191.0
01542,2018,107806.0
01543,2018,104050.0
01545,2018,106108.0
01550,2018,50787.0
01560,2018,79583.0
01562,2018,71830.0
01564,2018,107348.0
01566,2018,100600.0
01568,2018,123942.0
01569,2018,101266.0
01570,2018,57924.0
01571,2018,67117.0
01581,2018,108767.0
01583,2018,79375.0
01585,2018,68578.0
01588,2018,75495.0
01590,2018,102439.0
01602,2018,61710.0
01603,2018,38701.0
01604,2018,53270.0
01605,2018,37857.0
01606,2018,66130.0
01607,2018,46974.0
01608,2018,24181.0
01609,2018,44943.0
01610,2018,34005.0
01611,2018,92898.0
01612,2018,99875.0
01701,2018,111169.0
01702,2018,57186.0
01718,2018,164402.0
01719,2018,108207.0
01720,2018,137147.0
01721,2018,121406.0
01730,2018,129726.0
01731,2018,97305.0
01740,2018,155093.0
01741,2018,171625.0
01742,2018,141068.0
01745,2018,125139.0
01746,2018,125625.0
01747,2018,107550.0
01748,2018,166156.0
01749,2018,87806.0
01752,2018,79228.0
01754,2018,101324.0
01756,2018,132063.0
01757,2018,82260.0
01760,2018,109490.0
01770,2018,180769.0
01772,2018,147444.0
01773,2018,137222.0
01775,2018,145967.0
01776,2018,176570.0
01778,2018,174107.0
01801,2018,88671.0
01803,2018,105443.0
01810,2018,148125.0
01821,2018,103728.0
01824,2018,119387.0
01826,2018,88440.0
01827,2018,131250.0
01830,2018,62194.0
01832,2018,66106.0
01833,2018,128885.0
01834,2018,97109.0
01835,2018,75115.0
01840,2018,22092.0
01841,2018,40230.0
01843,2018,49443.0
01844,2018,74912.0
01845,2018,109371.0
01850,2018,48331.0
01851,2018,57029.0
01852,2018,54377.0
01854,2018,42293.0
01860,2018,83508.0
01862,2018,97234.0
01863,2018,88542.0
01864,2018,126818.0
01867,2018,112836.0
01876,2018,97853.0
01879,2018,109485.0
01880,2018,95954.0
01886,2018,141173.0
01887,2018,122813.0
01890,2018,159536.0
01901,2018,22788.0
01902,2018,43956.0
01904,2018,85309.0
01905,2018,60417.0
01906,2018,80253.0
01907,2018,113078.0
01908,2018,90741.0
01913,2018,80721.0
01915,2018,79483.0
01921,2018,174340.0
01922,2018,90489.0
01923,2018,84842.0
01929,2018,113469.0
01930,2018,65377.0
01938,2018,90557.0
01940,2018,119876.0
01944,2018,124025.0
01945,2018,115511.0
01949,2018,102604.0
01950,2018,103220.0
01951,2018,97083.0
01952,2018,78355.0
01960,2018,68214.0
01965,2018,
01966,2018,81681.0
01969,2018,114063.0
01970,2018,65495.0
01982,2018,133333.0
01983,2018,136812.0
01984,2018,109712.0
01985,2018,138403.0
02019,2018,99569.0
02021,2018,105371.0
02025,2018,132204.0
02026,2018,96868.0
02030,2018,224784.0
02032,2018,130109.0
02035,2018,98374.0
02038,2018,115355.0
02043,2018,133596.0
02045,2018,85573.0
02047,2018,
02048,2018,114720.0
02050,2018,95168.0
02052,2018,155039.0
02053,2018,119450.0
02054,2018,106336.0
02056,2018,146607.0
02061,2018,151306.0
02062,2018,90511.0
02066,2018,121231.0
02067,2018,138650.0
02071,2018,109963.0
02072,2018,79421.0
02081,2018,109893.0
02090,2018,155887.0
02093,2018,113017.0
02108,2018,136667.0
02109,2018,143191.0
02110,2018,116932.0
02111,2018,40870.0
02113,2018,100063.0
02114,2018,95161.0
02115,2018,37340.0
