month/year,zip,median_income,crime_rate_per_1000,business_count,ZHVI
08/2021,85002,N/A,4.93,N/A,N/A
09/2021,85002,N/A,4.96,N/A,N/A
10/2021,85002,N/A,4.91,N/A,N/A
11/2021,85002,N/A,4.72,N/A,N/A
12/2021,85002,N/A,4.65,N/A,N/A
01/2022,85002,N/A,4.84,N/A,N/A
02/2022,85002,N/A,4.32,N/A,N/A
03/2022,85002,N/A,4.86,N/A,N/A
04/2022,85002,N/A,4.72,N/A,N/A
05/2022,85002,N/A,4.85,N/A,N/A
06/2022,85002,N/A,4.47,N/A,N/A
07/2022,85002,N/A,4.37,N/A,N/A
08/2022,85002,N/A,4.42,N/A,N/A
09/2022,85002,N/A,4.33,N/A,N/A
10/2022,85002,N/A,4.38,N/A,N/A
11/2022,85002,N/A,3.92,N/A,N/A
12/2022,85002,N/A,4.16,N/A,N/A
01/2023,85002,N/A,4.21,N/A,N/A
02/2023,85002,N/A,3.72,N/A,N/A
03/2023,85002,N/A,4.08,N/A,N/A
04/2023,85002,N/A,4.02,N/A,N/A
05/2023,85002,N/A,4.24,N/A,N/A
06/2023,85002,N/A,3.95,N/A,N/A
07/2023,85002,N/A,3.98,N/A,N/A
08/2023,85002,N/A,4.1,N/A,N/A
09/2023,85002,N/A,4.12,N/A,N/A
10/2023,85002,N/A,4.09,N/A,N/A
11/2023,85002,N/A,4.02,N/A,N/A
12/2023,85002,N/A,3.89,N/A,N/A
01/2018,85003,42936.0,5.17,N/A,363585.26
02/2018,85003,42936.0,4.55,N/A,364307.89
03/2018,85003,42936.0,4.63,N/A,364185.59
04/2018,85003,42936.0,4.92,N/A,363651.71
05/2018,85003,42936.0,5.01,N/A,363626.91
06/2018,85003,42936.0,4.61,N/A,364631.75
07/2018,85003,42936.0,4.84,N/A,366120.91
08/2018,85003,42936.0,4.83,N/A,368048.39
09/2018,85003,42936.0,4.78,N/A,369211.25
10/2018,85003,42936.0,4.97,N/A,370198.96
11/2018,85003,42936.0,4.63,N/A,370291.74
12/2018,85003,42936.0,4.73,N/A,371303.98
01/2019,85003,44140.0,4.74,N/A,373156.8
02/2019,85003,44140.0,4.16,N/A,376322.15
03/2019,85003,44140.0,4.58,N/A,378780.7
04/2019,85003,44140.0,4.64,N/A,380318.63
05/2019,85003,44140.0,5.01,N/A,380123.63
06/2019,85003,44140.0,4.82,N/A,379789.92
07/2019,85003,44140.0,4.8,N/A,378675.69
08/2019,85003,44140.0,4.9,N/A,378408.57
09/2019,85003,44140.0,4.7,N/A,378529.19
10/2019,85003,44140.0,4.87,N/A,380455.78
11/2019,85003,44140.0,4.6,N/A,383239.72
12/2019,85003,44140.0,4.94,N/A,386332.45
01/2020,85003,48306.0,5.02,N/A,390591.01
02/2020,85003,48306.0,0.19,N/A,396107.86
03/2020,85003,48306.0,4.89,N/A,402392.01
04/2020,85003,48306.0,4.78,N/A,407643.22
05/2020,85003,48306.0,4.89,N/A,410593.4
06/2020,85003,48306.0,4.18,N/A,411560.18
07/2020,85003,48306.0,4.15,N/A,412134.42
08/2020,85003,48306.0,4.58,N/A,414121.98
09/2020,85003,48306.0,4.39,N/A,418985.01
10/2020,85003,48306.0,4.89,N/A,425230.11
11/2020,85003,48306.0,4.8,N/A,432892.6
12/2020,85003,48306.0,4.95,N/A,440597.85
01/2021,85003,47813.0,4.83,N/A,446992.09
02/2021,85003,47813.0,4.73,N/A,452806.77
03/2021,85003,47813.0,4.83,N/A,459336.29
04/2021,85003,47813.0,4.32,N/A,468345.47
05/2021,85003,47813.0,4.67,N/A,479709.69
06/2021,85003,47813.0,4.54,N/A,492896.22
07/2021,85003,47813.0,4.77,N/A,504857.24
08/2021,85003,47813.0,4.93,N/A,514557.78
09/2021,85003,47813.0,4.96,N/A,521203.77
10/2021,85003,47813.0,4.91,N/A,528230.57
11/2021,85003,47813.0,4.72,N/A,535363.9
12/2021,85003,47813.0,4.65,N/A,542227.44
01/2022,85003,49607.0,4.84,N/A,549321.06
02/2022,85003,49607.0,4.32,N/A,558027.48
03/2022,85003,49607.0,4.86,N/A,570433.26
04/2022,85003,49607.0,4.72,N/A,583687.18
05/2022,85003,49607.0,4.85,N/A,597124.8
06/2022,85003,49607.0,4.47,N/A,606787.44
07/2022,85003,49607.0,4.37,N/A,611035.58
08/2022,85003,49607.0,4.42,N/A,608619.31
09/2022,85003,49607.0,4.33,N/A,601304.0
10/2022,85003,49607.0,4.38,N/A,594087.76
11/2022,85003,49607.0,3.92,N/A,586647.06
12/2022,85003,49607.0,4.16,N/A,579600.82
01/2023,85003,56672.0,4.21,N/A,571528.34
02/2023,85003,56672.0,3.72,N/A,564979.05
03/2023,85003,56672.0,4.08,N/A,561568.35
04/2023,85003,56672.0,4.02,N/A,560881.16
05/2023,85003,56672.0,4.24,N/A,562003.95
06/2023,85003,56672.0,3.95,N/A,564351.69
07/2023,85003,56672.0,3.98,N/A,567950.78
08/2023,85003,56672.0,4.1,N/A,572302.47
09/2023,85003,56672.0,4.12,N/A,577465.58
10/2023,85003,56672.0,4.09,N/A,582628.37
11/2023,85003,56672.0,4.02,N/A,587588.12
12/2023,85003,56672.0,3.89,N/A,590280.66
01/2018,85004,35739.0,5.17,N/A,272703.3
02/2018,85004,35739.0,4.55,N/A,274641.28
03/2018,85004,35739.0,4.63,N/A,276179.69
04/2018,85004,35739.0,4.92,N/A,276683.27
05/2018,85004,35739.0,5.01,N/A,277113.51
06/2018,85004,35739.0,4.61,N/A,277384.98
07/2018,85004,35739.0,4.84,N/A,277568.42
08/2018,85004,35739.0,4.83,N/A,277872.43
09/2018,85004,35739.0,4.78,N/A,278538.52
