month/year,zip,median_income,crime_rate_per_1000,business_count,ZHVI
10/2018,85022,55614.0,4.97,N/A,287489.93
11/2018,85022,55614.0,4.63,N/A,288652.4
12/2018,85022,55614.0,4.73,N/A,289669.5
01/2019,85022,57118.0,4.74,N/A,290971.69
02/2019,85022,57118.0,4.16,N/A,292403.07
03/2019,85022,57118.0,4.58,N/A,293657.26
04/2019,85022,57118.0,4.64,N/A,294638.28
05/2019,85022,57118.0,5.01,N/A,295184.43
06/2019,85022,57118.0,4.82,N/A,295921.31
07/2019,85022,57118.0,4.8,N/A,296484.8
08/2019,85022,57118.0,4.9,N/A,297547.39
09/2019,85022,57118.0,4.7,N/A,298949.04
10/2019,85022,57118.0,4.87,N/A,300752.7
11/2019,85022,57118.0,4.6,N/A,302744.23
12/2019,85022,57118.0,4.94,N/A,304682.67
01/2020,85022,57660.0,5.02,N/A,307608.0
02/2020,85022,57660.0,0.19,N/A,311161.96
03/2020,85022,57660.0,4.89,N/A,315482.73
04/2020,85022,57660.0,4.78,N/A,319225.48
05/2020,85022,57660.0,4.89,N/A,321658.72
06/2020,85022,57660.0,4.18,N/A,323045.47
07/2020,85022,57660.0,4.15,N/A,324404.78
08/2020,85022,57660.0,4.58,N/A,327105.83
09/2020,85022,57660.0,4.39,N/A,331709.24
10/2020,85022,57660.0,4.89,N/A,337217.17
11/2020,85022,57660.0,4.8,N/A,343353.53
12/2020,85022,57660.0,4.95,N/A,349390.29
01/2021,85022,60134.0,4.83,N/A,355506.25
02/2021,85022,60134.0,4.73,N/A,362001.84
03/2021,85022,60134.0,4.83,N/A,369530.36
04/2021,85022,60134.0,4.32,N/A,378142.22
05/2021,85022,60134.0,4.67,N/A,388288.64
06/2021,85022,60134.0,4.54,N/A,399053.28
07/2021,85022,60134.0,4.77,N/A,409255.68
08/2021,85022,60134.0,4.93,N/A,417370.51
09/2021,85022,60134.0,4.96,N/A,423906.71
10/2021,85022,60134.0,4.91,N/A,429740.78
11/2021,85022,60134.0,4.72,N/A,435868.89
12/2021,85022,60134.0,4.65,N/A,441867.16
01/2022,85022,63905.0,4.84,N/A,448918.29
02/2022,85022,63905.0,4.32,N/A,457494.14
03/2022,85022,63905.0,4.86,N/A,468295.25
04/2022,85022,63905.0,4.72,N/A,480334.19
05/2022,85022,63905.0,4.85,N/A,492349.39
06/2022,85022,63905.0,4.47,N/A,502154.2
07/2022,85022,63905.0,4.37,N/A,506839.89
08/2022,85022,63905.0,4.42,N/A,505028.3
09/2022,85022,63905.0,4.33,N/A,497986.69
10/2022,85022,63905.0,4.38,N/A,489559.88
11/2022,85022,63905.0,3.92,N/A,480830.76
12/2022,85022,63905.0,4.16,N/A,472100.83
01/2023,85022,66601.0,4.21,N/A,463440.1
02/2023,85022,66601.0,3.72,N/A,457138.52
03/2023,85022,66601.0,4.08,N/A,454191.4
04/2023,85022,66601.0,4.02,N/A,453934.87
05/2023,85022,66601.0,4.24,N/A,454986.67
06/2023,85022,66601.0,3.95,N/A,457229.04
07/2023,85022,66601.0,3.98,N/A,460505.72
08/2023,85022,66601.0,4.1,N/A,464544.11
09/2023,85022,66601.0,4.12,N/A,468431.44
10/2023,85022,66601.0,4.09,N/A,472029.34
11/2023,85022,66601.0,4.02,N/A,474806.06
12/2023,85022,66601.0,3.89,N/A,476371.91
01/2018,85023,55644.0,5.17,N/A,244858.3
02/2018,85023,55644.0,4.55,N/A,246439.16
03/2018,85023,55644.0,4.63,N/A,248138.05
04/2018,85023,55644.0,4.92,N/A,249531.5
05/2018,85023,55644.0,5.01,N/A,251019.04
06/2018,85023,55644.0,4.61,N/A,252600.67
07/2018,85023,55644.0,4.84,N/A,254362.83
08/2018,85023,55644.0,4.83,N/A,255933.52
09/2018,85023,55644.0,4.78,N/A,257270.43
10/2018,85023,55644.0,4.97,N/A,258484.22
11/2018,85023,55644.0,4.63,N/A,259673.73
12/2018,85023,55644.0,4.73,N/A,260649.25
01/2019,85023,56564.0,4.74,N/A,261709.19
02/2019,85023,56564.0,4.16,N/A,263112.25
03/2019,85023,56564.0,4.58,N/A,264685.68
04/2019,85023,56564.0,4.64,N/A,266328.18
05/2019,85023,56564.0,5.01,N/A,267559.85
06/2019,85023,56564.0,4.82,N/A,268798.62
07/2019,85023,56564.0,4.8,N/A,269562.34
08/2019,85023,56564.0,4.9,N/A,270411.24
09/2019,85023,56564.0,4.7,N/A,271442.8
10/2019,85023,56564.0,4.87,N/A,273040.12
11/2019,85023,56564.0,4.6,N/A,275130.43
12/2019,85023,56564.0,4.94,N/A,277318.39
01/2020,85023,55111.0,5.02,N/A,280087.49
02/2020,85023,55111.0,0.19,N/A,283109.55
03/2020,85023,55111.0,4.89,N/A,286502.78
04/2020,85023,55111.0,4.78,N/A,289421.26
05/2020,85023,55111.0,4.89,N/A,291376.88
06/2020,85023,55111.0,4.18,N/A,292662.75
07/2020,85023,55111.0,4.15,N/A,294062.88
08/2020,85023,55111.0,4.58,N/A,296593.73
09/2020,85023,55111.0,4.39,N/A,300965.11
10/2020,85023,55111.0,4.89,N/A,306362.38
11/2020,85023,55111.0,4.8,N/A,312481.9
12/2020,85023,55111.0,4.95,N/A,318360.1
01/2021,85023,62185.0,4.83,N/A,324166.86
02/2021,85023,62185.0,4.73,N/A,330238.98
03/2021,85023,62185.0,4.83,N/A,337268.1
04/2021,85023,62185.0,4.32,N/A,345244.35
05/2021,85023,62185.0,4.67,N/A,354750.37
06/2021,85023,62185.0,4.54,N/A,365137.78
07/2021,85023,62185.0,4.77,N/A,375184.83
08/2021,85023,62185.0,4.93,N/A,383781.41
09/2021,85023,62185.0,4.96,N/A,390737.87
10/2021,85023,62185.0,4.91,N/A,397069.11
11/2021,85023,62185.0,4.72,N/A,403205.18
12/2021,85023,62185.0,4.65,N/A,409127.74
01/2022,85023,67986.0,4.84,N/A,415441.5
02/2022,85023,67986.0,4.32,N/A,422930.54
03/2022,85023,67986.0,4.86,N/A,432351.63
04/2022,85023,67986.0,4.72,N/A,442786.23
05/2022,85023,67986.0,4.85,N/A,453078.8
06/2022,85023,67986.0,4.47,N/A,461376.33
07/2022,85023,67986.0,4.37,N/A,465405.55
08/2022,85023,67986.0,4.42,N/A,463600.37
09/2022,85023,67986.0,4.33,N/A,456840.71
10/2022,85023,67986.0,4.38,N/A,448479.93
11/2022,85023,67986.0,3.92,N/A,439844.43
12/2022,85023,67986.0,4.16,N/A,431606.94
01/2023,85023,72442.0,4.21,N/A,423973.59
02/2023,85023,72442.0,3.72,N/A,418486.05
03/2023,85023,72442.0,4.08,N/A,415789.28
04/2023,85023,72442.0,4.02,N/A,415413.09
05/2023,85023,72442.0,4.24,N/A,416580.84
06/2023,85023,72442.0,3.95,N/A,418913.83
07/2023,85023,72442.0,3.98,N/A,422014.38
08/2023,85023,72442.0,4.1,N/A,425394.06
09/2023,85023,72442.0,4.12,N/A,428241.41
10/2023,85023,72442.0,4.09,N/A,430611.69
11/2023,85023,72442.0,4.02,N/A,432333.97
12/2023,85023,72442.0,3.89,N/A,433267.08
01/2018,85024,72688.0,5.17,N/A,286550.18
02/2018,85024,72688.0,4.55,N/A,288623.96
03/2018,85024,72688.0,4.63,N/A,290410.81
04/2018,85024,72688.0,4.92,N/A,291681.37
05/2018,85024,72688.0,5.01,N/A,293129.49
06/2018,85024,72688.0,4.61,N/A,294662.19
07/2018,85024,72688.0,4.84,N/A,296438.76
08/2018,85024,72688.0,4.83,N/A,297914.7
09/2018,85024,72688.0,4.78,N/A,299304.71
10/2018,85024,72688.0,4.97,N/A,300524.79
11/2018,85024,72688.0,4.63,N/A,301847.28
12/2018,85024,72688.0,4.73,N/A,303066.41
01/2019,85024,76711.0,4.74,N/A,304335.5
02/2019,85024,76711.0,4.16,N/A,305696.9
03/2019,85024,76711.0,4.58,N/A,306878.08
04/2019,85024,76711.0,4.64,N/A,307771.24
05/2019,85024,76711.0,5.01,N/A,308289.09
06/2019,85024,76711.0,4.82,N/A,308845.13
07/2019,85024,76711.0,4.8,N/A,309451.05
08/2019,85024,76711.0,4.9,N/A,310433.92
09/2019,85024,76711.0,4.7,N/A,311800.73
10/2019,85024,76711.0,4.87,N/A,313616.31
11/2019,85024,76711.0,4.6,N/A,315892.74
12/2019,85024,76711.0,4.94,N/A,318392.88
01/2020,85024,82618.0,5.02,N/A,321447.11
02/2020,85024,82618.0,0.19,N/A,324674.68
03/2020,85024,82618.0,4.89,N/A,328307.15
04/2020,85024,82618.0,4.78,N/A,331460.55
05/2020,85024,82618.0,4.89,N/A,333704.3
06/2020,85024,82618.0,4.18,N/A,335246.49
07/2020,85024,82618.0,4.15,N/A,337157.31
08/2020,85024,82618.0,4.58,N/A,340336.78
09/2020,85024,82618.0,4.39,N/A,345271.0
10/2020,85024,82618.0,4.89,N/A,351078.86
11/2020,85024,82618.0,4.8,N/A,357362.68
12/2020,85024,82618.0,4.95,N/A,363399.9
01/2021,85024,81359.0,4.83,N/A,369348.26
02/2021,85024,81359.0,4.73,N/A,375664.23
03/2021,85024,81359.0,4.83,N/A,383236.99
04/2021,85024,81359.0,4.32,N/A,391787.28
05/2021,85024,81359.0,4.67,N/A,402461.49
06/2021,85024,81359.0,4.54,N/A,414143.41
07/2021,85024,81359.0,4.77,N/A,425591.79
08/2021,85024,81359.0,4.93,N/A,435078.96
09/2021,85024,81359.0,4.96,N/A,442772.96
10/2021,85024,81359.0,4.91,N/A,449886.07
11/2021,85024,81359.0,4.72,N/A,457036.58
12/2021,85024,81359.0,4.65,N/A,464301.48
01/2022,85024,91385.0,4.84,N/A,472499.27
02/2022,85024,91385.0,4.32,N/A,482039.54
03/2022,85024,91385.0,4.86,N/A,493505.67
04/2022,85024,91385.0,4.72,N/A,506197.64
05/2022,85024,91385.0,4.85,N/A,518987.11
06/2022,85024,91385.0,4.47,N/A,529377.85
07/2022,85024,91385.0,4.37,N/A,534400.47
08/2022,85024,91385.0,4.42,N/A,532233.78
09/2022,85024,91385.0,4.33,N/A,524485.25
10/2022,85024,91385.0,4.38,N/A,515134.98
11/2022,85024,91385.0,3.92,N/A,505858.65
12/2022,85024,91385.0,4.16,N/A,497133.21
01/2023,85024,97759.0,4.21,N/A,488899.9
02/2023,85024,97759.0,3.72,N/A,482865.18
03/2023,85024,97759.0,4.08,N/A,479839.77
04/2023,85024,97759.0,4.02,N/A,479318.07
05/2023,85024,97759.0,4.24,N/A,480378.12
06/2023,85024,97759.0,3.95,N/A,483237.17
07/2023,85024,97759.0,3.98,N/A,487182.45
08/2023,85024,97759.0,4.1,N/A,491744.29
09/2023,85024,97759.0,4.12,N/A,495638.06
10/2023,85024,97759.0,4.09,N/A,498891.81
11/2023,85024,97759.0,4.02,N/A,501602.72
12/2023,85024,97759.0,3.89,N/A,503196.61
01/2018,85025,N/A,4.98,N/A,N/A
02/2018,85025,N/A,4.39,N/A,N/A
03/2018,85025,N/A,4.47,N/A,N/A
04/2018,85025,N/A,4.76,N/A,N/A
05/2018,85025,N/A,4.82,N/A,N/A
06/2018,85025,N/A,4.41,N/A,N/A
07/2018,85025,N/A,4.65,N/A,N/A
08/2018,85025,N/A,4.65,N/A,N/A
09/2018,85025,N/A,4.62,N/A,N/A
10/2018,85025,N/A,4.78,N/A,N/A
11/2018,85025,N/A,4.47,N/A,N/A
12/2018,85025,N/A,4.56,N/A,N/A
01/2019,85025,N/A,4.56,N/A,N/A
02/2019,85025,N/A,3.99,N/A,N/A
03/2019,85025,N/A,4.4,N/A,N/A
04/2019,85025,N/A,4.46,N/A,N/A
05/2019,85025,N/A,4.82,N/A,N/A
06/2019,85025,N/A,4.62,N/A,N/A
07/2019,85025,N/A,4.61,N/A,N/A
08/2019,85025,N/A,4.72,N/A,N/A
09/2019,85025,N/A,4.52,N/A,N/A
10/2019,85025,N/A,4.68,N/A,N/A
11/2019,85025,N/A,4.43,N/A,N/A
12/2019,85025,N/A,4.76,N/A,N/A
01/2020,85025,N/A,4.82,N/A,N/A
02/2020,85025,N/A,N/A,N/A,N/A
03/2020,85025,N/A,4.72,N/A,N/A
04/2020,85025,N/A,4.61,N/A,N/A
05/2020,85025,N/A,4.72,N/A,N/A
06/2020,85025,N/A,4.02,N/A,N/A
07/2020,85025,N/A,4.0,N/A,N/A
08/2020,85025,N/A,4.41,N/A,N/A
09/2020,85025,N/A,4.22,N/A,N/A
10/2020,85025,N/A,4.71,N/A,N/A
11/2020,85025,N/A,4.62,N/A,N/A
12/2020,85025,N/A,4.77,N/A,N/A
01/2021,85025,N/A,4.59,N/A,N/A
02/2021,85025,N/A,4.46,N/A,N/A
03/2021,85025,N/A,4.62,N/A,N/A
04/2021,85025,N/A,4.14,N/A,N/A
05/2021,85025,N/A,4.5,N/A,N/A
06/2021,85025,N/A,4.39,N/A,N/A
07/2021,85025,N/A,4.61,N/A,N/A
08/2021,85025,N/A,4.77,N/A,N/A
09/2021,85025,N/A,4.78,N/A,N/A
10/2021,85025,N/A,4.74,N/A,N/A
11/2021,85025,N/A,4.56,N/A,N/A
12/2021,85025,N/A,4.49,N/A,N/A
01/2022,85025,N/A,4.69,N/A,N/A
02/2022,85025,N/A,4.17,N/A,N/A
03/2022,85025,N/A,4.7,N/A,N/A
04/2022,85025,N/A,4.55,N/A,N/A
05/2022,85025,N/A,4.68,N/A,N/A
06/2022,85025,N/A,4.3,N/A,N/A
07/2022,85025,N/A,4.2,N/A,N/A
08/2022,85025,N/A,4.26,N/A,N/A
09/2022,85025,N/A,4.17,N/A,N/A
10/2022,85025,N/A,4.23,N/A,N/A
11/2022,85025,N/A,3.77,N/A,N/A
12/2022,85025,N/A,4.02,N/A,N/A
01/2023,85025,N/A,4.06,N/A,N/A
02/2023,85025,N/A,3.57,N/A,N/A
03/2023,85025,N/A,3.92,N/A,N/A
04/2023,85025,N/A,3.88,N/A,N/A
05/2023,85025,N/A,4.08,N/A,N/A
06/2023,85025,N/A,3.81,N/A,N/A
07/2023,85025,N/A,3.85,N/A,N/A
08/2023,85025,N/A,3.97,N/A,N/A
09/2023,85025,N/A,3.98,N/A,N/A
10/2023,85025,N/A,3.95,N/A,N/A
11/2023,85025,N/A,3.9,N/A,N/A
12/2023,85025,N/A,3.76,N/A,N/A
01/2018,85026,N/A,5.17,N/A,N/A
02/2018,85026,N/A,4.55,N/A,N/A
03/2018,85026,N/A,4.63,N/A,N/A
04/2018,85026,N/A,4.92,N/A,N/A
05/2018,85026,N/A,5.01,N/A,N/A
06/2018,85026,N/A,4.61,N/A,N/A
07/2018,85026,N/A,4.84,N/A,N/A
08/2018,85026,N/A,4.83,N/A,N/A
09/2018,85026,N/A,4.78,N/A,N/A
10/2018,85026,N/A,4.97,N/A,N/A
11/2018,85026,N/A,4.63,N/A,N/A
12/2018,85026,N/A,4.73,N/A,N/A
01/2019,85026,N/A,4.74,N/A,N/A
02/2019,85026,N/A,4.16,N/A,N/A
03/2019,85026,N/A,4.58,N/A,N/A
04/2019,85026,N/A,4.64,N/A,N/A
05/2019,85026,N/A,5.01,N/A,N/A
06/2019,85026,N/A,4.82,N/A,N/A
07/2019,85026,N/A,4.8,N/A,N/A
08/2019,85026,N/A,4.9,N/A,N/A
09/2019,85026,N/A,4.7,N/A,N/A
10/2019,85026,N/A,4.87,N/A,N/A
11/2019,85026,N/A,4.6,N/A,N/A
12/2019,85026,N/A,4.94,N/A,N/A
01/2020,85026,N/A,5.02,N/A,N/A
02/2020,85026,N/A,0.19,N/A,N/A
03/2020,85026,N/A,4.89,N/A,N/A
04/2020,85026,N/A,4.78,N/A,N/A
05/2020,85026,N/A,4.89,N/A,N/A
06/2020,85026,N/A,4.18,N/A,N/A
07/2020,85026,N/A,4.15,N/A,N/A
08/2020,85026,N/A,4.58,N/A,N/A
09/2020,85026,N/A,4.39,N/A,N/A
10/2020,85026,N/A,4.89,N/A,N/A
11/2020,85026,N/A,4.8,N/A,N/A
12/2020,85026,N/A,4.95,N/A,N/A
01/2021,85026,N/A,4.83,N/A,N/A
02/2021,85026,N/A,4.73,N/A,N/A
03/2021,85026,N/A,4.83,N/A,N/A
04/2021,85026,N/A,4.32,N/A,N/A
05/2021,85026,N/A,4.67,N/A,N/A
06/2021,85026,N/A,4.54,N/A,N/A
07/2021,85026,N/A,4.77,N/A,N/A
08/2021,85026,N/A,4.93,N/A,N/A
09/2021,85026,N/A,4.96,N/A,N/A
10/2021,85026,N/A,4.91,N/A,N/A
11/2021,85026,N/A,4.72,N/A,N/A
12/2021,85026,N/A,4.65,N/A,N/A
01/2022,85026,N/A,4.84,N/A,N/A
02/2022,85026,N/A,4.32,N/A,N/A
03/2022,85026,N/A,4.86,N/A,N/A
04/2022,85026,N/A,4.72,N/A,N/A
05/2022,85026,N/A,4.85,N/A,N/A
06/2022,85026,N/A,4.47,N/A,N/A
07/2022,85026,N/A,4.37,N/A,N/A
08/2022,85026,N/A,4.42,N/A,N/A
09/2022,85026,N/A,4.33,N/A,N/A
10/2022,85026,N/A,4.38,N/A,N/A
11/2022,85026,N/A,3.92,N/A,N/A
12/2022,85026,N/A,4.16,N/A,N/A
01/2023,85026,N/A,4.21,N/A,N/A
02/2023,85026,N/A,3.72,N/A,N/A
03/2023,85026,N/A,4.08,N/A,N/A
04/2023,85026,N/A,4.02,N/A,N/A
05/2023,85026,N/A,4.24,N/A,N/A
06/2023,85026,N/A,3.95,N/A,N/A
07/2023,85026,N/A,3.98,N/A,N/A
08/2023,85026,N/A,4.1,N/A,N/A
09/2023,85026,N/A,4.12,N/A,N/A
10/2023,85026,N/A,4.09,N/A,N/A
11/2023,85026,N/A,4.02,N/A,N/A
12/2023,85026,N/A,3.89,N/A,N/A
01/2018,85027,56184.0,5.17,N/A,214467.94
02/2018,85027,56184.0,4.55,N/A,216230.52
03/2018,85027,56184.0,4.63,N/A,217741.25
04/2018,85027,56184.0,4.92,N/A,218641.16
05/2018,85027,56184.0,5.01,N/A,219662.23
06/2018,85027,56184.0,4.61,N/A,220782.49
07/2018,85027,56184.0,4.84,N/A,222082.78
08/2018,85027,56184.0,4.83,N/A,223373.78
09/2018,85027,56184.0,4.78,N/A,224624.28
10/2018,85027,56184.0,4.97,N/A,225902.09
11/2018,85027,56184.0,4.63,N/A,227304.71
12/2018,85027,56184.0,4.73,N/A,228713.94
01/2019,85027,58877.0,4.74,N/A,230451.23
02/2019,85027,58877.0,4.16,N/A,232374.38
03/2019,85027,58877.0,4.58,N/A,234064.15
04/2019,85027,58877.0,4.64,N/A,235302.79
05/2019,85027,58877.0,5.01,N/A,236000.13
06/2019,85027,58877.0,4.82,N/A,236817.88
07/2019,85027,58877.0,4.8,N/A,237364.48
08/2019,85027,58877.0,4.9,N/A,238054.24
09/2019,85027,58877.0,4.7,N/A,238864.37
10/2019,85027,58877.0,4.87,N/A,240401.42
11/2019,85027,58877.0,4.6,N/A,242529.84
12/2019,85027,58877.0,4.94,N/A,244874.89
01/2020,85027,63591.0,5.02,N/A,247684.25
02/2020,85027,63591.0,0.19,N/A,250794.71
03/2020,85027,63591.0,4.89,N/A,254267.65
04/2020,85027,63591.0,4.78,N/A,257244.59
05/2020,85027,63591.0,4.89,N/A,259122.0
06/2020,85027,63591.0,4.18,N/A,260221.55
07/2020,85027,63591.0,4.15,N/A,261335.91
08/2020,85027,63591.0,4.58,N/A,263321.4
09/2020,85027,63591.0,4.39,N/A,267005.49
10/2020,85027,63591.0,4.89,N/A,271778.19
11/2020,85027,63591.0,4.8,N/A,277435.44
12/2020,85027,63591.0,4.95,N/A,282901.91
01/2021,85027,64886.0,4.83,N/A,288310.9
02/2021,85027,64886.0,4.73,N/A,293914.73
03/2021,85027,64886.0,4.83,N/A,300386.64
04/2021,85027,64886.0,4.32,N/A,307474.35
05/2021,85027,64886.0,4.67,N/A,315516.61
06/2021,85027,64886.0,4.54,N/A,324559.3
07/2021,85027,64886.0,4.77,N/A,333737.47
08/2021,85027,64886.0,4.93,N/A,342061.73
09/2021,85027,64886.0,4.96,N/A,348818.85
10/2021,85027,64886.0,4.91,N/A,354712.49
11/2021,85027,64886.0,4.72,N/A,360492.41
12/2021,85027,64886.0,4.65,N/A,366052.5
01/2022,85027,71362.0,4.84,N/A,372331.91
02/2022,85027,71362.0,4.32,N/A,379486.63
03/2022,85027,71362.0,4.86,N/A,388110.48
04/2022,85027,71362.0,4.72,N/A,397298.54
05/2022,85027,71362.0,4.85,N/A,406303.89
06/2022,85027,71362.0,4.47,N/A,413833.74
07/2022,85027,71362.0,4.37,N/A,417548.44
08/2022,85027,71362.0,4.42,N/A,416225.21
09/2022,85027,71362.0,4.33,N/A,410402.91
10/2022,85027,71362.0,4.38,N/A,403021.31
11/2022,85027,71362.0,3.92,N/A,395295.22
12/2022,85027,71362.0,4.16,N/A,388071.83
01/2023,85027,73255.0,4.21,N/A,381491.22
02/2023,85027,73255.0,3.72,N/A,376744.96
03/2023,85027,73255.0,4.08,N/A,374488.48
04/2023,85027,73255.0,4.02,N/A,374122.72
05/2023,85027,73255.0,4.24,N/A,375242.59
06/2023,85027,73255.0,3.95,N/A,377338.85
07/2023,85027,73255.0,3.98,N/A,380617.12
08/2023,85027,73255.0,4.1,N/A,384601.98
09/2023,85027,73255.0,4.12,N/A,388239.19
10/2023,85027,73255.0,4.09,N/A,391105.81
11/2023,85027,73255.0,4.02,N/A,392902.95
12/2023,85027,73255.0,3.89,N/A,393915.64
01/2018,85028,89110.0,5.17,N/A,385754.37
02/2018,85028,89110.0,4.55,N/A,387584.18
03/2018,85028,89110.0,4.63,N/A,389244.74
04/2018,85028,89110.0,4.92,N/A,391191.54
05/2018,85028,89110.0,5.01,N/A,394241.88
06/2018,85028,89110.0,4.61,N/A,397916.0
07/2018,85028,89110.0,4.84,N/A,401575.82
08/2018,85028,89110.0,4.83,N/A,404643.62
09/2018,85028,89110.0,4.78,N/A,407534.67
10/2018,85028,89110.0,4.97,N/A,410019.34
11/2018,85028,89110.0,4.63,N/A,412048.84
12/2018,85028,89110.0,4.73,N/A,413329.35
01/2019,85028,92357.0,4.74,N/A,414516.15
02/2019,85028,92357.0,4.16,N/A,416046.01
03/2019,85028,92357.0,4.58,N/A,417532.45
04/2019,85028,92357.0,4.64,N/A,418839.8
05/2019,85028,92357.0,5.01,N/A,419529.77
06/2019,85028,92357.0,4.82,N/A,420272.12
07/2019,85028,92357.0,4.8,N/A,420716.83
08/2019,85028,92357.0,4.9,N/A,421600.9
09/2019,85028,92357.0,4.7,N/A,423375.92
10/2019,85028,92357.0,4.87,N/A,425997.41
11/2019,85028,92357.0,4.6,N/A,429036.99
12/2019,85028,92357.0,4.94,N/A,431883.01
01/2020,85028,97865.0,5.02,N/A,436077.75
02/2020,85028,97865.0,0.19,N/A,441661.51
03/2020,85028,97865.0,4.89,N/A,448124.43
04/2020,85028,97865.0,4.78,N/A,453727.7
05/2020,85028,97865.0,4.89,N/A,457327.46
06/2020,85028,97865.0,4.18,N/A,459590.7
07/2020,85028,97865.0,4.15,N/A,462038.93
08/2020,85028,97865.0,4.58,N/A,466751.27
09/2020,85028,97865.0,4.39,N/A,474302.49
10/2020,85028,97865.0,4.89,N/A,483574.21
11/2020,85028,97865.0,4.8,N/A,493115.65
12/2020,85028,97865.0,4.95,N/A,502019.78
01/2021,85028,105472.0,4.83,N/A,510236.99
02/2021,85028,105472.0,4.73,N/A,518787.43
03/2021,85028,105472.0,4.83,N/A,528545.43
04/2021,85028,105472.0,4.32,N/A,540309.44
05/2021,85028,105472.0,4.67,N/A,554599.87
06/2021,85028,105472.0,4.54,N/A,570546.7
07/2021,85028,105472.0,4.77,N/A,585140.81
08/2021,85028,105472.0,4.93,N/A,596014.81
09/2021,85028,105472.0,4.96,N/A,603836.03
10/2021,85028,105472.0,4.91,N/A,610306.13
11/2021,85028,105472.0,4.72,N/A,617386.83
12/2021,85028,105472.0,4.65,N/A,624221.2
01/2022,85028,112865.0,4.84,N/A,633972.08
02/2022,85028,112865.0,4.32,N/A,646695.51
03/2022,85028,112865.0,4.86,N/A,664473.22
04/2022,85028,112865.0,4.72,N/A,684076.63
05/2022,85028,112865.0,4.85,N/A,703467.33
06/2022,85028,112865.0,4.47,N/A,717321.91
07/2022,85028,112865.0,4.37,N/A,722172.68
08/2022,85028,112865.0,4.42,N/A,717494.31
09/2022,85028,112865.0,4.33,N/A,706740.99
10/2022,85028,112865.0,4.38,N/A,696200.78
11/2022,85028,112865.0,3.92,N/A,686312.24
12/2022,85028,112865.0,4.16,N/A,676923.34
01/2023,85028,119436.0,4.21,N/A,666661.16
02/2023,85028,119436.0,3.72,N/A,658412.64
03/2023,85028,119436.0,4.08,N/A,654640.4
04/2023,85028,119436.0,4.02,N/A,655152.81
05/2023,85028,119436.0,4.24,N/A,658199.31
06/2023,85028,119436.0,3.95,N/A,663134.94
07/2023,85028,119436.0,3.98,N/A,669235.94
08/2023,85028,119436.0,4.1,N/A,676382.67
09/2023,85028,119436.0,4.12,N/A,683394.22
10/2023,85028,119436.0,4.09,N/A,690294.1
11/2023,85028,119436.0,4.02,N/A,695974.74
12/2023,85028,119436.0,3.89,N/A,698912.62
01/2018,85029,47365.0,5.17,N/A,198556.75
02/2018,85029,47365.0,4.55,N/A,200404.65
03/2018,85029,47365.0,4.63,N/A,202440.29
04/2018,85029,47365.0,4.92,N/A,203820.33
05/2018,85029,47365.0,5.01,N/A,205284.4
06/2018,85029,47365.0,4.61,N/A,206939.09
07/2018,85029,47365.0,4.84,N/A,209142.75
08/2018,85029,47365.0,4.83,N/A,210987.79
09/2018,85029,47365.0,4.78,N/A,212407.9
10/2018,85029,47365.0,4.97,N/A,213373.28
11/2018,85029,47365.0,4.63,N/A,214501.95
12/2018,85029,47365.0,4.73,N/A,215790.82
01/2019,85029,48547.0,4.74,N/A,217697.97
02/2019,85029,48547.0,4.16,N/A,220074.6
03/2019,85029,48547.0,4.58,N/A,222265.09
04/2019,85029,48547.0,4.64,N/A,223871.6
05/2019,85029,48547.0,5.01,N/A,224723.29
06/2019,85029,48547.0,4.82,N/A,225724.16
07/2019,85029,48547.0,4.8,N/A,226481.6
08/2019,85029,48547.0,4.9,N/A,227379.92
09/2019,85029,48547.0,4.7,N/A,228246.77
10/2019,85029,48547.0,4.87,N/A,229807.95
11/2019,85029,48547.0,4.6,N/A,232006.79
12/2019,85029,48547.0,4.94,N/A,234463.79
01/2020,85029,50067.0,5.02,N/A,237440.57
02/2020,85029,50067.0,0.19,N/A,240891.01
03/2020,85029,50067.0,4.89,N/A,244800.36
04/2020,85029,50067.0,4.78,N/A,248102.66
05/2020,85029,50067.0,4.89,N/A,250139.4
06/2020,85029,50067.0,4.18,N/A,251098.71
07/2020,85029,50067.0,4.15,N/A,252224.78
08/2020,85029,50067.0,4.58,N/A,254234.09
09/2020,85029,50067.0,4.39,N/A,258060.45
10/2020,85029,50067.0,4.89,N/A,262669.1
11/2020,85029,50067.0,4.8,N/A,268034.12
12/2020,85029,50067.0,4.95,N/A,273302.21
01/2021,85029,53565.0,4.83,N/A,278600.66
02/2021,85029,53565.0,4.73,N/A,284170.73
03/2021,85029,53565.0,4.83,N/A,290410.99
04/2021,85029,53565.0,4.32,N/A,297210.03
05/2021,85029,53565.0,4.67,N/A,304825.65
06/2021,85029,53565.0,4.54,N/A,313365.29
07/2021,85029,53565.0,4.77,N/A,322204.25
08/2021,85029,53565.0,4.93,N/A,330051.48
09/2021,85029,53565.0,4.96,N/A,336226.83
10/2021,85029,53565.0,4.91,N/A,341595.79
11/2021,85029,53565.0,4.72,N/A,347170.87
12/2021,85029,53565.0,4.65,N/A,352850.75
01/2022,85029,57802.0,4.84,N/A,358846.83
02/2022,85029,57802.0,4.32,N/A,365369.74
03/2022,85029,57802.0,4.86,N/A,372898.59
04/2022,85029,57802.0,4.72,N/A,380859.72
05/2022,85029,57802.0,4.85,N/A,388666.65
