"Crime Overview Trend (Combined)"
"Current date: 10/13/2025 7:38:23 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Mohave County SO"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2017","3,180","230","228","273","245","297","247","292","279","275","324","223","267"
"2018","2,747","290","187","225","232","231","189","254","228","236","199","227","249"
"2019","2,642","221","195","217","230","252","241","239","215","196","228","201","207"
"2020","2,302","184","184","205","238","191","209","199","156","196","212","165","163"
"2021","2,868","192","193","192","182","266","291","277","271","257","266","240","241"
"2022","2,858","276","232","263","235","242","253","233","226","234","227","232","205"
"2023","2,525","226","188","184","226","209","230","220","239","193","222","180","208"
"2025","1,423","199","146","187","157","187","219","174","154","","","",""
"2024","2,435","197","205","209","205","186","202","208","222","193","198","195","215"
