"Crime Overview Trend (Combined)"
"Current date: 10/13/2025 7:40:19 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Santa Cruz County SO"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2017","160","14","24","18","14","12","10","18","11","","9","13","17"
"2018","150","10","12","10","14","12","14","14","11","12","13","8","20"
"2019","118","10","10","9","7","13","8","9","12","9","10","13","8"
"2020","108","9","8","9","7","5","11","10","12","5","12","10","10"
"2021","184","7","4","9","5","85","13","12","12","15","4","5","13"
"2022","188","18","20","19","1","22","","20","2","17","22","28","19"
"2023","240","21","12","25","26","26","15","16","33","26","17","12","11"
"2025","125","25","16","14","15","16","12","13","14","","","",""
"2024","167","15","19","23","18","15","32","16","12","17","","",""
