"Crime Overview Trend (Combined)"
"Current date: 10/13/2025 7:39:52 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Pinal County SO"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2017","3,057","238","247","300","310","250","200","238","267","253","280","231","243"
"2018","2,643","253","231","240","253","214","199","193","244","209","218","200","189"
"2019","2,369","214","155","201","216","194","212","179","190","205","203","196","204"
"2020","2,402","238","211","218","181","219","168","196","223","193","204","177","174"
"2021","2,871","187","226","226","219","276","249","251","272","269","272","185","239"
"2022","2,848","264","220","240","256","251","231","257","230","225","232","224","218"
"2023","2,654","239","229","212","209","209","219","251","219","193","221","243","210"
"2025","1,551","207","157","217","210","208","188","211","153","","","",""
"2024","2,472","193","223","228","231","196","192","172","185","221","217","233","181"
