"Crime Overview Trend (Combined)"
"Current date: 10/13/2025 7:39:23 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Pima County SO"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2017","11,638","991","858","935","911","991","961","1,021","1,022","911","988","1,057","992"
"2018","10,868","1,010","818","876","893","912","921","969","925","863","904","903","874"
"2019","9,271","","","853","957","969","896","918","894","928","956","887","1,013"
"2020","10,308","984","837","935","913","932","699","767","767","739","880","900","955"
"2021","10,532","868","777","856","761","833","879","887","928","978","930","899","936"
"2022","11,355","909","843","912","925","935","969","954","1,003","994","1,022","970","919"
"2023","11,247","830","819","835","905","1,028","1,033","938","1,075","939","997","893","955"
"2025","6,219","874","858","988","834","906","886","873","","","","",""
"2024","11,064","800","978","921","951","912","873","913","954","1,018","945","884","915"
