"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:40:47 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Flagstaff PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","4,560","354","342","316","372","427","394","408","471","407","372","342","355"
"2019","4,692","369","319","322","425","381","415","449","477","459","410","367","299"
"2020","4,368","369","359","326","341","370","376","435","358","481","373","291","289"
"2021","3,518","279","226","252","286","325","310","293","319","330","301","331","266"
"2022","3,865","293","244","311","356","357","338","338","360","387","354","265","262"
"2023","3,423","251","197","244","278","309","297","301","290","315","351","300","290"
"2025","544","280","264","","","","","","","","","",""
"2024","3,831","287","231","305","309","349","345","352","373","357","353","302","268"
