"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:14:25 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Nogales PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","755","78","51","62","82","54","76","42","67","67","57","54","65"
"2019","716","71","50","70","50","56","50","61","53","58","62","69","66"
"2020","661","61","61","78","47","61","66","49","45","50","53","47","43"
"2021","662","46","59","41","45","45","51","47","50","66","61","69","82"
"2022","880","79","76","91","67","54","48","67","66","82","81","74","95"
"2023","980","93","67","97","80","56","92","80","88","94","83","81","69"
"2025","464","57","50","61","55","72","85","84","","","","",""
"2024","890","62","69","66","70","87","83","76","84","79","77","60","77"
