"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:08:27 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Pima Community College PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","29","5","7","4","6","4","3","","","","","",""
"2019","","","","","","","","","","","","",""
"2020","37","8","8","7","1","0","0","3","2","2","4","2","0"
"2021","49","2","2","2","4","3","8","4","5","7","5","6","1"
"2022","64","2","10","4","8","11","10","2","6","1","3","6","1"
"2023","54","7","6","5","5","6","4","5","8","3","1","2","2"
"2025","7","7","","","","","","","","","","",""
"2024","49","5","1","4","13","5","1","1","5","4","7","3",""
