"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:12:06 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Superior PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","107","10","7","16","14","11","7","9","4","8","5","8","8"
"2019","118","13","10","11","","13","7","13","12","7","9","11","12"
"2020","117","11","17","14","10","11","11","4","8","5","10","6","10"
"2021","117","9","16","15","12","8","9","3","7","9","15","7","7"
"2022","152","16","8","16","6","17","13","12","15","17","8","14","10"
"2023","152","20","11","15","10","10","9","9","10","15","12","17","14"
"2025","63","8","9","6","11","8","6","11","4","","","",""
"2024","129","6","12","12","7","11","7","10","17","8","16","17","6"
