"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:11:10 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Kearny PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","34","2","0","6","2","4","3","3","2","2","4","3","3"
"2019","29","0","0","2","5","3","2","2","5","0","4","4","2"
"2020","","","","","","","","","","","","",""
"2021","","","","","","","","","","","","",""
"2022","","","","","","","","","","","","",""
"2023","","","","","","","","","","","","",""
"2025","","","","","","","","","","","","",""
"2024","","","","","","","","","","","","",""
