"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:43:58 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Miami PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","62","8","6","4","1","5","13","8","5","6","3","2","1"
"2019","62","5","2","5","3","9","7","4","4","6","4","8","5"
"2020","57","","7","8","4","5","6","3","3","6","5","5","5"
"2021","48","6","4","2","4","8","","1","6","2","3","6","6"
"2022","101","10","6","3","5","13","18","11","12","1","11","7","4"
"2023","43","3","3","5","1","4","6","5","7","7","2","",""
"2025","22","3","5","5","2","3","4","","","","","",""
"2024","41","","2","2","3","4","2","1","7","3","10","4","3"
