"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:00:43 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Holbrook PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","267","40","8","23","3","15","31","15","29","24","17","30","32"
"2019","432","34","35","19","35","39","24","40","42","38","45","43","38"
"2020","","","","","","","","","","","","",""
"2021","","","","","","","","","","","","",""
"2022","325","34","26","16","29","37","21","18","45","3","37","34","25"
"2023","306","25","35","34","20","27","12","23","25","24","30","30","21"
"2025","","","","","","","","","","","","",""
"2024","50","22","28","","","","","","","","","",""
