"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:56:15 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Tempe PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","11,701","924","833","918","944","999","897","957","1,029","983","1,180","1,058","979"
"2019","11,313","1,060","807","957","890","918","905","980","944","1,001","965","977","909"
"2020","11,174","1,049","902","1,012","816","864","742","859","833","966","1,009","1,037","1,085"
"2021","12,903","1,139","965","967","957","1,315","1,020","982","953","1,247","1,144","1,113","1,101"
"2022","12,782","1,138","964","1,116","1,107","1,090","1,080","1,071","1,113","1,021","1,070","961","1,051"
"2023","11,074","1,152","989","1,024","1,021","918","820","840","898","879","916","787","830"
"2025","6,426","741","677","810","728","788","714","719","677","572","","",""
"2024","9,780","841","786","889","824","875","778","745","814","857","819","764","788"
