"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:12:49 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Apache Junction PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,228","116","103","100","114","96","116","132","109","103","88","81","70"
"2019","1,338","102","175","136","105","96","100","95","83","111","94","131","110"
"2020","1,196","122","121","98","105","116","89","78","107","81","96","99","84"
"2021","1,055","70","80","52","67","80","82","93","111","114","104","107","95"
"2022","1,395","106","101","120","101","138","126","123","134","105","90","117","134"
"2023","1,397","128","103","122","126","141","110","110","110","109","126","97","115"
"2025","636","85","79","72","104","75","100","71","50","","","",""
"2024","1,264","124","115","124","102","100","90","87","109","127","95","91","100"
