"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:49:57 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: El Mirage PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,290","157","101","97","95","64","99","108","107","118","118","105","121"
"2019","1,389","100","108","132","120","144","119","110","131","126","93","116","90"
"2020","1,132","112","109","117","135","118","88","74","72","90","76","66","75"
"2021","1,004","91","96","103","105","73","80","82","79","83","66","83","63"
"2022","970","75","68","94","78","100","96","68","78","78","72","58","105"
"2023","961","86","82","79","79","86","86","73","89","88","77","60","76"
"2025","669","76","88","76","74","74","54","76","70","75","6","",""
"2024","919","88","77","77","75","78","62","84","60","66","76","77","99"
