"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:45:42 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Thatcher PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","76","3","5","6","9","12","4","7","7","8","5","5","5"
"2019","126","17","8","4","9","7","7","11","15","18","4","11","15"
"2020","","","","","","","","","","","","",""
"2021","43","3","6","4","9","4","2","1","1","2","6","3","2"
"2022","42","4","1","4","3","3","2","7","2","4","5","3","4"
"2023","38","3","3","4","3","8","5","1","3","2","1","1","4"
"2025","29","3","0","10","2","2","1","5","3","3","","",""
"2024","46","3","2","4","7","2","3","5","8","6","2","2","2"
