"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:22:47 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Round Valley PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","20","3","2","4","2","3","1","2","0","0","1","1","1"
"2019","11","1","1","0","1","0","2","0","0","1","3","2","0"
"2020","8","1","0","1","2","0","0","1","1","1","1","0","0"
"2021","23","3","4","4","3","","2","1","1","4","","1",""
"2022","20","1","2","1","4","","1","3","7","","","","1"
"2023","8","3","2","3","","","","","","","","",""
"2025","","","","","","","","","","","","",""
"2024","","","","","","","","","","","","",""
