"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:55:30 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Surprise PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","2,800","274","251","240","252","208","196","216","213","232","215","245","258"
"2019","2,874","258","212","230","245","259","262","214","204","242","249","228","271"
"2020","3,174","331","281","262","278","255","221","205","232","233","310","268","298"
"2021","3,207","281","221","272","257","296","272","270","236","255","249","253","345"
"2022","3,368","271","296","325","327","314","254","303","265","289","245","206","273"
"2023","3,150","242","244","248","304","266","272","330","281","255","228","277","203"
"2025","1,744","238","232","215","220","232","187","207","213","","","",""
"2024","2,639","237","251","263","192","253","196","222","271","195","188","176","195"
