"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:16:15 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Cottonwood PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","212","63","48","55","46","","","","","","","",""
"2019","578","51","40","45","44","57","62","46","43","48","48","42","52"
"2020","633","55","48","45","37","39","56","62","52","57","56","63","63"
"2021","450","41","41","36","38","42","47","51","59","47","48","",""
"2022","415","33","40","37","41","31","40","34","46","27","29","26","31"
"2023","353","34","30","21","26","26","38","30","33","33","31","16","35"
"2025","","","","","","","","","","","","",""
"2024","281","21","25","21","23","29","20","27","20","23","30","19","23"
