"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:13:21 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Maricopa PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","795","59","60","72","61","63","69","51","70","53","65","64","108"
"2019","732","77","71","69","63","54","55","","","86","92","77","88"
"2020","841","75","94","111","66","61","41","56","83","43","74","70","67"
"2021","892","78","86","65","71","71","57","69","94","93","72","61","75"
"2022","1,005","70","92","85","100","94","58","85","89","76","88","68","100"
"2023","1,315","109","104","106","96","120","98","84","120","125","139","111","103"
"2025","973","120","112","106","118","140","93","143","141","","","",""
"2024","1,388","102","156","111","138","125","108","82","111","135","105","116","99"
