"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:18:31 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Chino Valley PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","266","25","17","31","22","23","37","22","19","25","12","10","23"
"2019","221","15","20","16","23","22","17","22","20","19","16","16","15"
"2020","177","21","21","17","22","13","10","17","18","13","8","11","6"
"2021","153","11","24","8","10","8","12","18","11","13","12","7","19"
"2022","150","6","13","16","12","11","14","13","13","15","20","7","10"
"2023","164","15","4","11","15","24","14","6","17","16","17","14","11"
"2025","132","15","11","18","14","19","3","12","17","23","","",""
"2024","148","17","11","15","5","19","13","11","17","8","15","10","7"
