"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:44:44 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Pima PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","65","4","3","11","11","5","4","2","5","9","3","6","2"
"2019","40","2","3","2","3","3","5","2","6","7","2","4","1"
"2020","38","4","3","2","2","4","3","1","3","4","4","3","5"
"2021","8","0","2","0","0","2","1","0","1","0","0","1","1"
"2022","27","0","0","4","5","5","0","3","3","3","3","0","1"
"2023","18","3","1","1","0","0","1","2","1","0","1","8",""
"2025","9","6","1","1","1","0","","","","","","",""
"2024","18","5","3","1","1","1","1","1","4","","0","0","1"
