"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:57:17 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Wickenburg PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","192","14","18","8","11","8","12","12","9","25","29","20","26"
"2019","199","22","13","19","12","9","8","30","21","17","20","17","11"
"2020","225","21","14","9","14","6","6","17","29","36","33","23","17"
"2021","212","13","14","19","21","16","19","6","17","18","29","15","25"
"2022","193","9","19","23","30","16","17","13","17","0","27","16","6"
"2023","141","10","15","9","21","9","10","5","14","20","10","8","10"
"2025","74","13","14","13","9","7","7","","6","5","","",""
"2024","109","10","5","10","13","10","5","14","2","13","6","9","12"
