"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:17:09 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Prescott PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,698","130","128","168","156","128","153","137","129","173","143","123","130"
"2019","1,563","120","86","135","153","126","148","127","129","137","175","104","123"
"2020","1,501","118","129","157","139","112","114","126","138","123","125","111","109"
"2021","1,590","116","103","127","123","117","130","139","132","151","150","142","160"
"2022","1,626","119","107","129","126","144","164","153","135","147","157","137","108"
"2023","1,579","125","97","108","135","144","146","163","158","111","115","129","148"
"2025","962","98","117","114","98","103","157","143","132","","","",""
"2024","1,356","116","108","96","119","120","93","119","140","125","112","97","111"
