"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:10:08 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Eloy PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","634","48","38","55","45","60","57","53","47","56","70","54","51"
"2019","650","64","55","69","66","60","53","66","51","49","57","","60"
"2020","36","","","","","","","","","","","","36"
"2021","594","40","58","47","53","57","57","50","45","44","44","58","41"
"2022","551","53","62","52","51","48","48","49","32","34","45","40","37"
"2023","448","42","38","32","39","44","48","44","40","42","34","24","21"
"2025","265","25","20","34","30","40","23","37","28","28","","",""
"2024","421","42","25","34","47","38","40","35","38","33","36","20","33"
