"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:05:04 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Sahuarita PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","552","66","40","58","42","51","38","41","43","39","56","31","47"
"2019","536","45","43","45","46","54","39","56","36","33","41","37","61"
"2020","428","42","39","51","21","36","37","35","37","21","43","26","40"
"2021","531","39","48","34","44","34","50","60","34","68","45","36","39"
"2022","623","47","55","43","78","40","50","29","50","49","55","51","76"
"2023","717","76","61","70","64","63","43","43","58","73","70","39","57"
"2025","378","52","43","46","44","60","44","39","50","","","",""
"2024","684","69","56","47","44","63","52","41","57","75","61","64","55"
