"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:03:50 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: South Tucson PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","","","","","","","","","","","","",""
"2019","264","","","","","","","","","","81","94","89"
"2020","938","97","81","83","74","60","66","77","75","95","69","76","85"
"2021","1,166","115","109","88","86","95","95","88","77","124","90","98","101"
"2022","858","90","82","87","94","92","92","59","83","73","52","45","9"
"2023","701","56","27","61","69","70","76","77","48","52","51","59","55"
"2025","","","","","","","","","","","","",""
"2024","729","68","69","70","72","65","48","46","52","78","57","43","61"
