"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:52:51 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Paradise Valley PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","228","20","22","18","20","24","22","16","16","14","17","12","27"
"2019","196","12","12","12","14","25","18","17","13","22","14","15","22"
"2020","263","19","26","13","17","21","18","23","23","19","28","35","21"
"2021","227","14","26","27","16","23","25","20","5","17","21","18","15"
"2022","219","19","13","25","23","31","9","12","12","23","12","17","23"
"2023","200","14","7","17","21","18","22","17","14","18","23","11","18"
"2025","62","8","9","7","7","8","10","4","9","","","",""
"2024","163","16","21","16","14","12","10","9","8","15","19","10","13"
