"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:32:13 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Willcox PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","193","20","17","10","16","21","22","16","15","9","19","12","16"
"2019","153","12","11","18","17","13","5","9","12","13","17","13","13"
"2020","156","19","16","18","21","13","9","9","17","13","7","9","5"
"2021","178","14","10","16","13","21","15","29","18","7","15","12","8"
"2022","188","15","17","17","18","15","32","14","18","8","11","13","10"
"2023","80","9","6","11","8","5","9","7","5","4","8","4","4"
"2025","61","10","9","7","9","9","5","6","3","3","","",""
"2024","105","4","7","7","9","12","6","9","9","12","8","7","15"
