"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:58:11 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: AZ State University PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,013","92","98","95","96","77","26","35","111","102","136","104","41"
"2019","888","87","68","62","89","61","37","39","76","128","102","81","58"
"2020","533","90","86","46","36","22","17","9","43","57","61","42","24"
"2021","782","41","53","44","40","30","16","21","79","127","141","71","119"
"2022","1,287","107","140","137","144","72","52","36","116","189","147","97","50"
"2023","911","102","107","84","72","30","30","23","83","131","125","91","33"
"2025","448","67","96","77","60","47","34","25","42","","","",""
"2024","929","55","99","94","79","47","27","16","75","135","131","110","61"
