"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:23:24 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Bisbee PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","","","","","","","","","","","","",""
"2019","","","","","","","","","","","","",""
"2020","4","","","","","","","","","","","","4"
"2021","172","12","11","12","31","12","15","12","14","9","14","13","17"
"2022","85","12","2","7","9","5","11","12","6","4","4","9","4"
"2023","94","2","7","3","9","6","8","11","17","14","9","4","4"
"2025","67","13","14","8","8","1","23","","","","","",""
"2024","114","4","13","24","4","9","5","13","6","11","9","6","10"
