"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:00:03 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Bullhead City PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,882","156","139","143","165","171","138","155","171","165","146","170","163"
"2019","1,770","130","118","132","139","173","195","148","147","171","139","140","138"
"2020","1,474","131","138","132","112","119","121","114","121","121","129","115","121"
"2021","","","","","","","","","","","","",""
"2022","749","","","","","","","143","160","123","125","94","104"
"2023","1,423","94","99","111","90","118","119","121","133","134","131","140","133"
"2025","884","117","108","108","123","93","106","123","106","","","",""
"2024","1,559","131","112","155","135","151","140","147","115","112","126","101","134"
