"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:54:57 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Scottsdale PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","7,586","643","622","687","589","622","683","706","623","567","616","596","632"
"2019","7,054","683","587","614","646","613","630","522","534","568","559","534","564"
"2020","6,826","592","583","515","462","560","545","530","499","533","660","630","717"
"2021","8,028","694","589","703","657","716","651","693","637","649","692","630","717"
"2022","7,725","704","686","716","676","702","607","597","581","657","559","587","653"
"2023","7,657","610","754","683","627","660","606","603","697","585","652","567","613"
"2025","4,676","527","504","568","561","532","524","510","548","402","","",""
"2024","6,630","581","613","567","538","564","497","481","537","596","542","547","567"
