"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:51:46 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Goodyear PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","2,659","189","240","222","215","273","206","207","222","211","222","220","232"
"2019","2,640","233","195","243","190","231","209","210","192","234","255","229","219"
"2020","2,516","232","236","226","161","199","170","192","185","218","231","233","233"
"2021","2,696","257","197","205","217","221","192","204","230","238","232","225","278"
"2022","2,674","268","251","223","204","208","214","235","211","206","213","199","242"
"2023","2,742","255","225","242","244","273","207","211","217","234","235","205","194"
"2025","2,115","232","237","246","243","250","237","232","211","227","","",""
"2024","2,738","235","200","188","246","222","218","223","252","223","250","251","230"
