"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:44:20 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Payson PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","611","88","46","37","40","61","50","56","54","60","36","43","40"
"2019","479","31","34","30","35","32","58","56","58","39","32","30","44"
"2020","595","44","46","48","49","42","45","48","51","66","60","42","54"
"2021","568","27","36","42","32","50","58","49","49","66","53","54","52"
"2022","498","48","24","38","29","30","60","63","58","44","34","32","38"
"2023","492","47","27","47","45","62","37","33","45","34","48","29","38"
"2025","277","31","41","34","25","41","28","31","46","","","",""
"2024","396","41","36","21","26","35","31","19","38","41","42","27","39"
