"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:04:30 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Tucson PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","39,369","3,770","2,969","3,200","3,466","3,555","3,410","3,699","3,327","3,168","3,173","3,075","2,557"
"2019","30,413","2,735","2,387","2,983","2,807","2,683","2,565","2,447","2,462","2,306","2,340","2,328","2,370"
"2020","31,673","2,398","2,795","2,670","2,771","2,751","2,416","2,371","2,530","2,587","2,806","2,729","2,849"
"2021","33,971","2,751","2,663","2,670","2,507","2,790","2,563","2,849","3,052","3,101","3,044","2,998","2,983"
"2022","35,178","2,978","2,715","2,911","2,648","3,266","2,978","3,182","3,313","3,000","2,862","2,712","2,613"
"2023","31,383","2,459","2,480","2,517","2,726","2,721","2,526","2,618","2,633","2,515","2,599","2,811","2,778"
"2025","8,933","1,313","1,221","1,209","1,134","1,040","981","974","1,061","0","","",""
"2024","31,163","2,688","2,751","2,901","3,121","3,213","2,928","2,942","2,681","2,309","2,159","1,922","1,548"
