"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:59:31 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Lake Havasu City PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,633","93","150","161","119","166","135","140","180","152","112","125","100"
"2019","1,505","126","123","122","145","139","126","126","124","122","129","128","95"
"2020","1,553","128","128","136","127","151","130","138","120","146","137","97","115"
"2021","1,696","100","110","119","117","186","131","141","161","172","183","131","145"
"2022","1,749","162","122","148","151","171","135","148","145","166","173","111","117"
"2023","1,736","148","128","117","130","176","149","179","162","129","134","138","146"
"2025","1,120","135","117","158","130","169","125","132","154","","","",""
"2024","1,869","126","142","159","138","214","135","172","181","182","141","131","148"
