"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:47:15 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Buckeye PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","1,935","137","133","116","147","177","145","203","187","147","182","167","194"
"2019","1,859","121","132","143","154","147","153","185","168","138","196","132","190"
"2020","1,743","179","171","152","114","137","149","124","166","117","143","136","155"
"2021","1,809","175","161","133","155","135","128","178","161","126","138","125","194"
"2022","1,989","189","172","151","193","179","204","143","178","152","140","160","128"
"2023","1,792","166","135","164","177","153","111","158","161","106","184","140","137"
"2025","1,059","118","132","131","164","151","152","112","99","","","",""
"2024","1,795","156","175","151","140","155","145","161","136","161","156","135","124"
