"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:21:42 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Quartzsite PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","155","24","21","10","11","8","6","11","0","0","36","8","20"
"2019","17","17","","","","","","","","","","",""
"2020","130","11","12","10","11","12","9","15","7","8","12","10","13"
"2021","102","11","12","2","20","1","7","7","6","7","6","12","11"
"2022","83","16","9","13","2","2","8","2","10","2","","4","15"
"2023","77","6","7","3","7","2","4","3","2","11","5","13","14"
"2025","53","11","13","9","9","8","3","","","","","",""
"2024","124","14","7","15","7","8","6","8","11","15","10","9","14"
