"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 7:48:30 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Chandler PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","8,061","702","577","745","652","716","700","673","656","651","622","662","705"
"2019","7,931","690","566","676","603","599","623","663","676","684","725","665","761"
"2020","7,459","755","623","763","548","619","562","566","556","623","637","612","595"
"2021","7,589","598","613","631","580","715","581","633","618","642","643","663","672"
"2022","7,955","714","652","709","641","693","652","582","637","651","738","592","694"
"2023","6,781","537","572","601","611","519","566","513","567","525","586","568","616"
"2025","3,853","498","504","470","496","510","437","451","487","","","",""
"2024","6,691","575","541","607","550","608","534","546","578","502","550","546","554"
