"Crime Overview Trend (Combined)"
"Current date: 10/9/2025 8:18:55 PM (US Mountain Standard Time)"
"Data source: AZ_summary, Summary Combined Return A & Part I Data"
"Jurisdiction by Geography: Sedona PD"
"Measures","Number of Actual Offenses",,,,,,,,,,,,,
"Summary Month","All Summary Months","January","February","March","April","May","June","July","August","September","October","November","December",
"Summary Date"
"2018","256","22","29","27","30","15","","22","22","19","30","16","24"
"2019","225","15","","13","14","24","30","23","24","19","13","26","24"
"2020","259","27","29","0","20","17","19","21","34","29","25","18","20"
"2021","220","13","15","18","16","24","21","16","22","20","26","16","13"
"2022","293","16","23","28","27","18","25","29","28","38","16","25","20"
"2023","214","20","15","21","14","32","22","15","19","19","","20","17"
"2025","100","22","14","23","20","","21","","","","","",""
"2024","224","19","19","23","13","17","15","16","31","23","17","10","21"
